player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Talan Dudley,185690,LB,LEHIGH,3,0,6.5,0,0,205,64.2,61.4,76.1,67.9,49.1,59.6,0.0,0,0,16,16,0.0,0,2
Cole Hughes,185696,LB,LEHIGH,12,9,2.1,0,0,205,64.2,68.0,81.9,60.9,71.7,73.5,4.5,1,0,108,108,8.3,9,12
Lorenzo Portella,185706,DI,LEHIGH,12,0,2.0,0,0,205,62.7,49.5,28.7,56.6,44.8,53.9,0.0,0,1,56,56,3.6,2,3
Mekhai Smith,185711,S,LEHIGH,13,9,6.6,0,0,205,89.0,89.8,87.4,78.9,79.8,77.3,13.8,4,1,231,233,3.9,9,16
Ignatious Williams,185713,CB,LEHIGH,9,1,15.0,0,0,205,59.7,61.8,80.2,,72.2,84.8,0.0,0,0,53,54,0.0,0,3
Goki Abe,185715,DI,ST FRANCIS,1,0,,0,0,299,,25.9,72.1,59.4,26.9,,,0,0,8,8,0.0,0,0
Zachary Betts,185719,ED,ST FRANCIS,11,4,2.0,0,0,299,42.5,75.7,39.7,78.5,72.9,54.9,19.0,8,3,293,298,8.2,24,30
Mekhi Butler,185721,CB,ALABAMA ST,2,0,,0,0,105,64.0,64.6,71.6,,61.5,,,0,0,10,10,0.0,0,0
Geno Calgaro,185723,LB,ST FRANCIS,11,30,3.7,0,0,299,67.2,78.5,83.3,55.7,84.8,89.3,5.4,5,1,329,334,10.6,35,58
Kahmari Cook,185727,LB,ST FRANCIS,9,5,3.6,0,0,299,59.7,57.6,83.3,59.0,56.1,57.0,17.4,4,0,110,112,7.3,8,14
Kendric Council,185728,LB,ST FRANCIS,10,7,3.0,0,0,299,71.8,71.3,57.5,66.9,67.5,57.3,18.0,9,1,277,281,7.6,21,34
Colin Douglas,185731,S,ST FRANCIS,11,8,9.9,0,0,299,90.5,90.9,87.8,90.2,72.8,67.8,16.4,10,0,341,347,2.3,8,43
Malikai Nichols,185752,CB,ST FRANCIS,9,4,26.3,0,0,299,52.7,47.5,0.0,,36.0,28.4,46.2,6,2,103,105,1.9,2,3
Corey Williams,185767,S,ST FRANCIS,11,6,6.2,0,1,299,65.0,52.2,45.2,67.9,35.8,26.9,34.5,19,2,295,298,5.4,16,30
Ethan Appolon,185769,ED,WAGNER,12,2,4.3,0,0,338,,65.6,85.2,70.1,54.9,43.8,14.3,1,0,131,134,1.5,2,4
Vincent Bertone,185772,LB,WAGNER,6,2,4.6,0,0,338,42.3,56.9,78.1,59.2,69.6,73.5,18.2,2,0,41,41,9.8,4,7
Leo Bluestein,185773,ED,WAGNER,2,0,2.0,0,0,338,,49.3,77.0,60.1,46.3,71.5,0.0,0,0,29,30,3.4,1,1
Acear Cornish,185778,LB,WAGNER,3,0,4.3,0,0,338,64.4,66.5,75.7,57.2,65.9,78.8,0.0,0,0,23,24,13.0,3,4
Colton Guerrero,185786,LB,WAGNER,12,7,3.4,0,0,338,59.4,60.5,82.4,48.0,64.8,60.2,15.6,5,0,153,156,7.8,12,20
Jordan Johnson,185789,LB,WAGNER,12,9,4.8,0,0,338,60.0,57.7,0.0,62.9,58.2,73.6,8.9,4,3,262,267,6.9,18,32
Brendan Leal,185792,LB,WAGNER,8,4,3.8,0,0,338,91.0,87.8,0.0,52.3,81.4,77.3,5.6,1,1,58,59,12.1,7,13
Joseph Mahoney,185793,S,WAGNER,4,2,3.7,0,0,338,47.3,55.2,75.4,,65.3,69.4,16.7,1,0,29,30,6.9,2,3
Nathan Moorehead,185796,DI,WAGNER,6,0,,0,0,338,60.0,44.2,77.5,56.9,38.8,71.5,,0,0,39,39,0.0,0,0
Alim Parks Jr.,185801,S,WAGNER,4,3,9.2,0,0,338,47.8,56.0,78.7,60.0,68.5,59.9,18.2,2,0,53,54,5.7,3,6
Chris Smith,185812,DI,WAGNER,2,1,2.0,0,0,338,,41.4,75.8,56.6,39.8,72.4,0.0,0,0,33,33,3.0,1,1
Julio Tatis,185815,CB,WAGNER,2,0,,0,0,338,53.8,58.0,71.7,,64.3,21.7,,0,0,22,22,0.0,0,0
Amanuel Dickson,185822,LB,CHATTNOOGA,12,15,3.7,1,0,137,66.8,57.0,0.0,66.3,52.8,39.2,20.6,13,4,249,253,8.0,20,35
Isaiah Harvey,185825,DI,CHATTNOOGA,11,2,0.8,0,0,137,63.6,65.4,81.5,60.0,65.7,65.9,0.0,0,0,70,71,5.7,4,4
Noah Livingston,185828,ED,CHATTNOOGA,1,1,,0,0,137,60.0,45.9,76.3,57.0,44.9,72.2,0.0,0,0,10,10,0.0,0,0
Dailen Howard,185831,DI,E TENN ST,12,5,1.8,0,0,157,58.4,69.4,84.5,57.6,76.0,49.7,10.0,2,0,214,220,4.7,10,13
Demetrius Baldwin,185837,DI,FURMAN,12,7,1.5,0,0,170,64.6,67.6,84.1,64.0,64.7,43.7,22.7,5,0,213,218,3.3,7,10
Daco Coleman,185839,CB,FURMAN,10,0,26.2,0,0,170,57.9,59.0,81.8,60.0,63.9,83.1,16.7,1,1,106,110,0.0,0,5
Malaki Dobbins,185841,ED,FURMAN,11,1,0.4,2,0,170,66.2,50.8,0.0,58.2,52.7,43.5,30.8,4,5,72,73,9.7,7,8
Javaris Jones,185852,S,FURMAN,2,0,11.0,0,0,170,65.7,67.5,73.5,,63.5,77.7,0.0,0,0,4,4,0.0,0,1
Ty Kauserud,185853,DI,FURMAN,4,3,1.7,0,0,170,,69.4,79.3,63.6,69.8,50.0,18.2,2,0,57,58,8.8,5,6
Bruce Knauber,185854,DI,FURMAN,11,0,2.3,0,0,170,60.0,65.4,80.1,55.8,70.1,41.7,12.5,1,0,71,72,9.9,7,7
Jordan Miller,185856,CB,FURMAN,10,2,8.6,0,0,170,62.9,66.4,83.7,58.3,79.4,73.8,0.0,0,3,232,235,0.9,2,8
Trevor Short,185860,ED,FURMAN,4,1,2.5,0,0,170,60.0,51.4,79.6,54.5,51.0,77.0,0.0,0,0,17,17,5.9,1,2
Carmelo O'neal,185872,CB,MERCER,13,2,5.1,0,0,219,67.1,69.2,84.8,93.4,62.0,73.5,7.1,1,2,278,310,2.5,7,11
Kai Reyes,185873,CB,MERCER,8,0,6.3,0,0,219,40.3,45.8,79.2,,61.8,80.9,0.0,0,1,45,46,4.4,2,3
Alejandro Tovar,185883,DI,PRESBYTERN,12,6,1.9,0,0,271,56.4,69.2,82.4,58.2,75.6,60.8,0.0,0,0,125,127,5.6,7,9
Marcel Wood,185884,ED,PRESBYTERN,2,0,2.7,0,0,271,43.9,60.6,79.3,60.2,71.6,76.6,0.0,0,0,17,19,11.8,2,3
Vanier Baptiste III,185892,DI,W CAROLINA,12,2,3.0,0,0,344,62.2,64.1,81.5,53.9,70.0,79.1,0.0,0,0,96,96,3.1,3,4
Jordan Cardentey,185896,ED,W CAROLINA,1,0,,0,0,344,,61.9,70.8,63.0,59.3,,,0,0,7,7,0.0,0,0
Joshua Collins,185897,LB,W CAROLINA,1,0,-2.0,0,0,344,60.4,76.2,69.8,59.4,77.1,73.2,0.0,0,0,6,6,16.7,1,1
Julian Quintero,185909,S,W CAROLINA,2,0,,0,0,344,62.9,50.0,72.7,,42.6,,,0,0,9,10,0.0,0,0
Adrian Stone,185914,DI,W CAROLINA,11,1,3.1,0,0,344,,63.5,80.0,52.3,70.3,41.9,11.1,1,0,50,50,8.0,4,7
Mark Arthur,185920,S,WOFFORD,4,1,14.0,0,0,350,50.9,53.7,79.5,55.3,62.8,68.0,0.0,0,0,38,39,0.0,0,1
Cooper Horton,185931,DI,WOFFORD,2,0,,0,0,350,,37.1,70.0,56.3,60.0,,,0,0,2,2,0.0,0,0
John Jaraczewski,185932,ED,WOFFORD,1,0,,0,0,350,,58.4,69.5,58.1,60.0,,,0,0,1,1,0.0,0,0
Perrin Ketchin,185934,S,WOFFORD,3,1,3.0,0,0,350,66.7,68.9,77.2,60.0,71.1,83.9,0.0,0,0,16,19,6.3,1,1
Darius Malcolm Jr.,185938,CB,WOFFORD,12,5,10.0,0,0,350,79.0,81.3,54.9,74.9,84.4,79.2,15.0,3,3,335,347,1.2,4,12
Ramon McCollough Jr.,185939,DI,WOFFORD,12,8,1.6,0,0,350,60.4,68.7,82.9,58.6,73.0,60.9,9.1,2,0,152,156,6.6,10,12
Caleb Oliver,185943,ED,WOFFORD,12,5,5.1,0,0,350,76.8,81.7,40.9,72.1,84.0,78.9,0.0,0,2,163,168,6.7,11,21
Anderson Smith,185946,LB,WOFFORD,1,0,,0,0,350,,60.0,65.7,,60.0,,,0,0,1,1,0.0,0,0
Marion Smokes Jr.,185947,ED,WOFFORD,10,6,-0.4,0,0,350,63.4,64.6,0.0,60.8,76.7,45.0,23.1,6,7,181,189,7.2,13,14
Elijah Washington,185949,LB,WOFFORD,9,2,3.0,0,0,350,62.4,64.9,0.0,53.9,74.6,56.3,16.7,3,2,104,107,8.7,9,13
Corley Watson IV,185950,LB,WOFFORD,3,1,0.8,0,0,350,33.3,46.5,0.0,52.6,86.6,47.9,0.0,0,2,15,16,20.0,3,4
Brice Baker,185953,S,DAVIDSON,12,4,7.6,0,0,149,53.3,55.3,85.4,55.3,58.8,49.4,23.5,4,0,99,100,2.0,2,9
Brodey Berg,185954,HB,DAVIDSON,1,0,,0,0,149,,51.7,60.0,,60.0,,,0,0,2,2,0.0,0,0
"Lamar Bolden Jr.,",185956,CB,DAVIDSON,11,3,16.3,0,0,149,50.9,53.0,84.9,,62.5,29.9,40.0,4,1,271,272,0.0,0,3
Teghan Cole,185960,S,DAVIDSON,4,4,9.5,0,0,149,67.5,61.2,80.3,,49.3,28.7,37.5,6,0,71,71,1.4,1,6
Jayden Ferguson,185962,LB,DAVIDSON,2,0,5.0,0,0,149,,76.4,67.9,,72.8,77.4,0.0,0,0,6,6,33.3,2,3
Cam Jackson,185964,DI,DAVIDSON,12,2,2.8,0,0,149,74.6,64.7,55.5,57.4,62.1,80.2,0.0,0,1,163,164,1.8,3,6
Tre Johnson,185965,LB,DAVIDSON,11,15,4.0,0,1,149,48.6,51.5,36.5,59.6,56.0,39.4,20.0,10,1,204,204,6.9,14,25
Robert Jones,185967,DI,DAVIDSON,5,1,3.0,0,0,149,,55.7,0.0,60.3,58.7,34.6,20.0,1,1,41,41,4.9,2,3
Shay Ragland,185972,CB,DAVIDSON,2,1,7.6,0,0,149,58.4,55.0,76.9,,45.4,85.2,0.0,0,0,41,41,4.9,2,5
Nakoma Scott,185974,ED,DAVIDSON,12,4,2.7,1,0,149,62.1,63.0,62.0,56.3,66.6,68.9,6.7,2,1,184,184,9.2,17,24
Rodney Unnasch,185977,S,DAVIDSON,4,0,7.0,0,0,149,69.1,61.2,0.0,67.7,45.9,48.6,50.0,2,1,34,34,2.9,1,2
Ravonte Blowe,185978,ED,HOUCHR,12,13,2.6,0,0,183,59.7,72.3,28.0,58.5,82.3,74.3,2.9,1,3,241,250,5.8,14,20
Tyran Chappell,185981,CB,HOUCHR,11,3,6.6,1,1,183,85.0,85.2,45.1,60.0,81.9,65.1,6.7,1,3,326,329,1.5,5,11
Terrell Elliott,185994,DI,INCAR WORD,4,0,,0,0,189,,66.4,7.9,65.5,69.1,69.7,,0,1,33,33,0.0,0,0
Drew Merrill,185995,S,INCAR WORD,12,7,4.7,0,0,189,72.4,72.1,29.3,70.4,70.6,72.1,10.0,3,1,185,187,6.5,12,20
Christian Booker,185996,DI,LAMAR,11,2,2.8,0,1,204,60.0,76.5,39.1,77.5,72.6,74.3,5.9,1,2,172,174,5.2,9,14
Daiki Yoshikawa,186002,LB,LAMAR,7,0,,0,0,204,51.8,41.8,74.7,61.2,29.7,26.9,100.0,2,0,18,18,0.0,0,0
Jordan Allen,186003,ED,MCNEESE,9,1,6.7,0,0,217,56.2,49.4,84.4,64.8,38.2,71.4,0.0,0,0,65,66,4.6,3,7
Landon Barrett,186004,LB,MCNEESE,11,13,4.6,0,0,217,66.2,71.7,23.3,80.3,67.0,60.2,20.7,12,2,324,333,4.9,16,33
Wyatt Fontenot,186011,LB,MCNEESE,2,0,,0,0,217,61.0,64.4,70.7,59.2,60.2,73.2,,0,0,3,3,0.0,0,0
Sandy Lewis,186016,ED,MCNEESE,5,1,-4.0,0,0,217,,72.2,77.8,68.3,68.9,76.8,0.0,0,0,17,17,5.9,1,1
Kylin Smith,186027,CB,MCNEESE,1,0,,0,0,217,,60.0,65.6,,60.0,,,0,0,2,2,0.0,0,0
Landry Huddleston,186042,LB,NWSTATE,7,5,6.0,1,0,257,57.0,62.3,0.0,64.8,67.1,68.1,11.1,2,1,65,67,3.1,2,11
Kaiden Turner,186046,ED,STF AUSTIN,14,5,1.1,0,0,301,53.5,71.5,45.3,63.3,80.3,33.2,7.7,1,1,81,83,8.6,7,7
Brennen Ceaser,186069,CB,ALABAMA ST,3,1,9.0,0,0,105,63.3,63.8,72.9,58.6,64.0,77.6,0.0,0,0,9,9,0.0,0,1
Ashton Ashford,186071,HB,ALABAMA ST,1,0,,0,0,105,,60.0,60.0,,60.0,,,0,0,2,2,0.0,0,0
Cornell Harris Jr.,186081,DI,ALABAMA ST,8,3,-1.2,0,0,105,60.6,70.6,5.2,58.8,76.1,78.1,0.0,0,1,42,43,9.5,4,5
Denzel Johnson,186084,LB,ALABAMA ST,12,11,2.8,0,0,105,77.4,78.3,80.9,53.7,80.7,82.6,2.9,1,0,201,205,8.5,17,22
Ethan Johnson,186085,LB,ALABAMA ST,1,0,,0,0,105,60.0,43.0,68.8,,45.4,,,0,0,5,5,0.0,0,0
Michael Joiner Jr.,186086,DI,ALABAMA ST,12,6,2.9,0,0,105,,66.1,58.3,60.1,69.2,48.2,8.0,2,1,159,164,8.2,13,17
Trej Lett,186090,DI,ALABAMA ST,2,2,,0,0,105,60.0,62.9,70.8,58.8,62.2,73.2,0.0,0,0,7,7,0.0,0,0
Ajani Mason,186092,ED,ALABAMA ST,11,2,2.0,0,0,105,60.4,60.5,83.0,58.1,60.5,36.2,18.2,2,0,110,114,5.5,6,7
Nathan Nwagwu,186097,CB,ALABAMA ST,6,0,25.0,0,0,105,56.9,60.4,80.6,,72.8,79.5,0.0,0,2,74,77,0.0,0,1
Eric Tarrant,186103,CB,ALABAMA ST,6,3,3.3,0,0,105,61.4,66.3,80.4,58.9,75.5,78.5,12.5,1,0,36,36,5.6,2,4
Kazarius Bowie,186118,DI,JACKSON ST,12,2,1.4,0,0,194,70.9,75.6,83.5,60.7,79.0,66.3,10.0,1,0,107,110,5.6,6,7
Reid Pulliam,186121,LB,JACKSON ST,12,13,2.1,0,0,194,60.4,72.7,57.3,62.2,84.4,57.3,12.5,7,1,249,255,12.9,32,36
Tymon Wells,186125,DI,JACKSON ST,11,4,2.6,0,0,194,78.7,71.9,58.6,59.1,78.1,68.2,4.3,1,1,142,143,9.9,14,18
Mubarak Odubiyi,186132,ED,UTAHTC,1,0,,0,0,1285,,53.0,69.8,60.0,55.0,,,0,0,5,5,0.0,0,0
Isiah Bivins,186145,CB,IDAHO,2,0,,0,0,185,89.7,90.8,70.1,,60.0,73.5,,0,0,4,4,0.0,0,0
Trenton Fisher,186152,S,IDAHO,2,0,4.0,0,0,185,,60.6,60.0,,60.0,,0.0,0,0,2,2,50.0,1,1
Cruz Hepburn,186156,LB,IDAHO,12,19,3.9,0,1,185,71.9,77.8,41.2,55.5,82.1,85.4,5.3,3,1,257,261,8.6,22,35
Matt Irwin,186160,S,IDAHO,12,6,8.7,0,0,185,57.6,55.5,85.3,58.5,50.2,47.0,27.6,8,0,195,196,1.5,3,15
Aaron Kinsey,186163,CB,IDAHO,2,0,,0,0,185,76.5,73.5,74.2,,54.1,48.1,100.0,1,0,11,12,0.0,0,0
Titus Ringor,186176,DI,IDAHO,11,5,-0.9,0,0,185,,66.9,11.3,54.9,77.3,58.5,7.7,1,2,91,94,6.6,6,7
Trenton Swanson,186178,WR,IDAHO,2,0,,0,0,185,,60.6,60.0,60.0,60.0,,,0,2,2,2,0.0,0,0
Noah West-Baranco,186179,WR,IDAHO,2,0,,0,0,185,,60.6,60.0,60.0,60.0,,,0,5,2,2,0.0,0,0
Diezel Wilkinson,186180,S,MONTANA,14,11,5.8,0,0,232,81.1,79.9,54.0,69.6,75.4,76.2,12.8,6,3,270,271,6.7,18,30
Janari Boone,186182,S,IDAHO ST,12,5,3.9,0,1,186,61.5,63.6,80.3,58.6,66.0,59.9,15.8,3,1,131,133,5.3,7,11
Jaylon Brown,186183,CB,IDAHO ST,2,0,1.0,0,0,186,63.4,61.2,0.0,,69.6,46.9,0.0,0,2,11,11,9.1,1,1
Brady Phillips,186192,DI,IDAHO ST,2,1,,0,0,186,,69.7,71.3,57.8,69.8,70.2,0.0,0,0,5,5,0.0,0,0
Monty Hunt,186200,CB,TENN TECH,7,1,2.0,0,0,309,66.5,67.4,78.5,56.5,69.4,80.3,0.0,0,1,41,41,0.0,0,1
Bertin Placide,186202,CB,MERRIMACK,11,1,19.7,1,0,385,62.6,60.6,0.0,60.0,52.8,51.8,33.3,2,3,101,101,0.0,0,3
Mark Cooper,186210,LB,TXAMCO,1,1,,0,0,1139,60.0,69.0,68.1,59.6,68.7,73.6,0.0,0,0,12,12,0.0,0,0
Samarion George,186212,DI,TXAMCO,2,0,,0,0,1139,,50.3,72.0,58.3,51.2,,,0,0,8,8,0.0,0,0
Robert Graves,186213,DI,TXAMCO,1,0,,0,0,1139,,38.9,69.6,58.9,60.0,,,0,0,4,4,0.0,0,0
Tez Jeffery,186217,ED,TXAMCO,1,0,3.0,0,0,1139,,67.9,70.5,59.4,65.8,73.0,0.0,0,0,3,3,33.3,1,1
Micah Johnson,186218,ED,TXAMCO,12,4,3.7,1,1,1139,64.9,68.0,3.2,59.9,74.1,68.8,0.0,0,3,133,133,6.0,8,13
Koby-Sebasyen King,186220,LB,TXAMCO,12,23,4.5,0,0,1139,57.7,72.1,60.0,67.7,77.4,90.0,8.0,6,1,392,399,5.6,22,46
Dylan Scott,186230,S,TXAMCO,7,0,11.0,0,0,1139,76.6,72.7,78.8,59.7,55.9,79.9,0.0,0,0,39,39,0.0,0,1
Stephen Ellison II,186243,S,AUSTINPEAY,9,7,3.3,0,0,116,65.2,68.7,83.9,56.4,75.4,53.9,11.1,2,0,100,101,5.0,5,9
Antori Hamilton,186245,DI,AUSTINPEAY,12,8,1.8,0,0,116,62.3,78.3,83.7,59.9,86.4,58.8,10.0,3,0,178,183,8.4,15,19
Jeffson Locke,186252,ED,AUSTINPEAY,7,1,0.0,0,0,116,64.5,85.5,77.5,90.0,72.1,78.5,0.0,0,0,18,18,5.6,1,1
Bryson Adamoh,186259,CB,CENT ARK,9,0,9.8,0,0,132,59.0,56.7,0.0,55.4,58.5,42.7,33.3,2,3,64,66,0.0,0,4
Akeem Allen,186260,ED,CENT ARK,1,0,,0,0,132,,60.0,65.6,,60.0,,,0,0,1,1,0.0,0,0
Carmilo Allen,186261,ED,CENT ARK,11,6,2.1,0,0,132,56.2,77.3,83.6,65.0,83.9,70.8,3.6,1,0,114,116,14.9,17,21
Jalarrion Andrews,186262,S,CENT ARK,8,2,5.7,0,0,132,57.9,66.2,81.5,74.8,79.4,76.1,0.0,0,0,76,80,1.3,1,3
Mark Dorsey,186272,CB,CENT ARK,10,4,4.3,1,0,132,82.7,83.4,33.6,65.5,85.7,78.4,4.8,1,2,234,238,3.8,9,16
Reid Jones,186285,DI,CENT ARK,12,7,1.8,0,0,132,60.0,62.8,50.7,57.4,67.7,67.5,0.0,0,1,124,126,1.6,2,4
Jacoby McQuiller,186293,CB,CENT ARK,11,5,5.3,1,0,132,71.1,73.1,88.1,57.7,76.6,77.0,8.7,2,1,259,263,3.1,8,16
Ashtyn Williams,186307,LB,CENT ARK,12,11,4.0,0,0,132,51.0,65.8,49.0,50.5,79.5,75.2,11.3,7,1,275,279,9.5,26,44
