player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Deyjhon Pettaway,199999,CB,TEXAS A&M,1,3,0,312,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,69.3,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
Cobey Sellers,200000,CB,TEXAS A&M,1,5,0,312,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,15.5,0.0,100.0,,2.5,0,1,50.0,70.8,0,,,0,0,39.6,0,5,100.0,5,0,0,2,0,0,0,0.0,
Craig Royal Jr.,200005,CB,TEXAS ST,13,155,0,314,1,8.5,75.0,100.0,12.0,9.0,0,1,25.0,69.3,0,6,0.0,0,0,79.2,3,40,25.8,40,2,2,4,0,14,11,0.4,4.7,0,1,13.7,66.7,100.0,40.5,27.0,0,0,0.0,67.3,1,20,20.0,1,0,50.0,2,84,54.2,84,1,3,3,0,23,19,0.3,11.5
Cordarian Powell,200006,CB,TEXAS ST,5,44,0,314,0,20.3,33.3,100.0,11.0,3.7,0,2,66.7,66.0,0,35,,0,2,118.1,1,14,31.8,14,0,0,3,1,35,0,3.2,35.0,0,0,4.5,100.0,100.0,7.0,7.0,0,0,0.0,46.7,0,14,0.0,0,0,104.2,2,16,36.4,16,1,1,2,0,18,9,1.3,9.0
Greg Gipson Jr.,200018,S,TEXAS ST,4,26,0,314,0,13.5,100.0,88.9,3.5,3.5,0,0,0.0,48.4,0,22,0.0,0,0,118.8,2,8,30.8,9,0,2,2,0,31,4,4.4,15.5,0,0,11.0,100.0,88.9,7.0,7.0,0,0,0.0,54.9,0,12,,0,0,116.7,1,8,30.8,9,0,0,1,0,12,1,1.7,12.0
TJ Burkhalter,200019,LB,TEXAS ST,1,6,0,314,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,
Joseph Reddish,200024,CB,VA TECH,8,43,0,337,0,3.0,100.0,100.0,4.0,4.0,0,0,0.0,72.1,0,3,0.0,0,0,79.2,1,6,14.0,6,1,1,1,0,3,0,0.8,3.0,0,0,3.9,100.0,96.9,2.8,2.8,0,0,0.0,59.9,0,50,10.0,1,0,149.4,11,31,72.1,32,3,9,11,2,114,71,3.7,10.4
Jojo Crim,200030,CB,VA TECH,6,74,0,337,0,9.0,100.0,100.0,5.0,5.0,0,0,0.0,57.7,0,11,0.0,0,0,135.4,2,11,14.9,11,1,1,2,1,14,0,1.4,7.0,0,2,4.3,100.0,100.0,12.8,12.8,0,0,0.0,61.6,0,17,25.0,2,0,102.1,4,54,73.0,54,0,4,4,0,34,17,0.7,8.5
Knahlij Harrell,200032,CB,VA TECH,2,10,0,337,0,20.0,100.0,100.0,2.0,2.0,0,0,0.0,52.7,0,13,,0,0,158.3,1,2,20.0,2,0,0,1,1,13,0,6.5,13.0,0,1,4.0,100.0,100.0,3.0,3.0,0,0,0.0,54.3,0,4,50.0,1,0,83.3,1,4,40.0,4,0,0,1,0,4,0,1.3,4.0
Jahmari DeLoatch,200034,CB,VA TECH,2,7,0,337,0,-3.0,100.0,100.0,2.0,2.0,0,0,0.0,71.3,0,-4,0.0,0,0,79.2,1,2,28.6,2,1,1,1,0,-4,-1,-2.0,-4.0,0,0,36.0,0.0,100.0,,3.0,0,0,0.0,51.3,0,,,0,0,39.6,0,3,42.9,3,0,0,1,0,0,0,0.0,
