player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,S,OREGON ST,11,83,0,265,0,14.0,66.7,88.0,10.0,6.7,0,1,33.3,81.8,0,18,0.0,0,1,91.0,2,22,26.5,25,1,3,3,0,24,10,1.2,12.0,0,0,-5.0,100.0,98.1,48.0,48.0,0,1,100.0,75.9,0,1,0.0,0,1,79.2,1,53,63.9,54,0,5,1,0,1,6,0.0,1.0
James Camden,53418,LB,W MICHIGAN,14,274,0,347,0,6.0,100.0,81.8,27.5,27.5,0,0,0.0,79.4,0,18,0.0,0,0,150.0,2,63,23.0,77,3,3,2,1,21,9,0.4,10.5,0,2,2.5,76.9,77.7,14.4,11.1,0,0,0.0,67.4,0,23,16.7,2,0,92.5,10,153,55.8,197,8,8,13,0,82,59,0.6,8.2
Iesa Jarmon,53981,CB,AKRON,1,8,0,102,0,,,100.0,,,0,0,,62.2,0,,,0,0,0.0,0,2,25.0,2,0,0,0,0,0,0,0.0,,0,0,18.0,100.0,100.0,4.0,4.0,0,0,0.0,52.7,0,12,,0,0,156.3,1,4,50.0,4,0,0,1,1,12,0,3.0,12.0
Shaun Myers,62235,LB,COLORADO,10,96,0,143,1,3.8,100.0,60.3,10.5,10.5,0,0,0.0,51.4,0,33,0.0,0,0,158.3,4,44,45.8,73,0,1,4,2,57,42,1.4,14.3,0,2,5.7,57.1,98.0,11.5,6.6,0,1,14.3,85.3,0,8,16.7,1,1,62.2,4,48,50.0,49,2,3,7,0,3,3,0.1,0.8
Mister Williams,70521,LB,S DIEGO ST,13,270,0,284,0,5.0,25.0,67.2,39.0,9.8,0,1,25.0,56.7,0,0,0.0,0,1,39.6,1,43,15.9,64,0,1,4,0,0,7,0.0,0.0,0,0,3.1,72.7,94.1,12.2,8.9,0,1,4.5,53.2,0,35,25.0,2,0,112.3,16,206,76.3,219,4,6,22,1,182,128,0.9,11.4
Ben Florentine,70644,DI,WYOMING,12,3,0,351,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,115,0,1,0,0,0,0,,,0,0,,,1.1,,,0,0,,56.5,0,,50.0,1,0,0.0,0,1,33.3,95,3,1,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,13,18,0,169,0,,,15.1,,,2,2,,75.4,0,,100.0,2,2,0.0,0,13,72.2,86,1,0,0,0,0,0,0.0,,0,0,11.7,66.7,4.3,2.5,1.7,0,0,0.0,46.6,0,17,100.0,2,0,103.5,2,5,27.8,115,3,0,3,0,33,10,6.6,16.5
Calvin Pitcher,70877,LB,UAB,12,88,0,321,1,9.3,66.7,65.5,9.5,6.3,0,1,33.3,59.7,0,14,0.0,0,1,125.0,2,19,21.6,29,1,0,3,1,20,8,1.1,10.0,0,1,4.2,80.0,86.6,14.0,11.2,0,0,0.0,39.4,0,65,62.5,5,0,118.8,4,58,65.9,67,0,2,5,0,95,94,1.7,23.8
Tate Romney,70946,LB,ARIZONA ST,10,46,0,110,0,9.0,0.0,63.6,,6.0,0,0,0.0,63.3,0,,,0,0,39.6,0,7,15.2,11,0,0,1,0,0,0,0.0,,0,1,7.6,80.0,92.1,8.8,7.0,0,1,20.0,48.5,0,30,33.3,1,1,156.3,4,35,76.1,38,0,1,5,1,60,31,1.7,15.0
Domani Jackson,71370,CB,ALABAMA,15,300,0,103,0,4.8,87.5,100.0,8.0,7.0,0,0,0.0,62.0,0,38,0.0,0,0,135.9,7,62,20.7,62,4,8,8,1,57,21,1.0,8.1,0,1,6.5,69.2,99.5,22.9,15.8,0,1,7.7,74.0,0,25,6.3,1,1,84.8,9,212,70.7,213,4,14,13,0,78,21,0.4,8.7
Aaron Smith,71596,CB,NEW MEXICO,1,13,0,241,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,7.0,100.0,100.0,2.0,2.0,0,0,0.0,46.7,0,17,0.0,0,0,105.6,3,6,46.2,6,0,1,3,0,28,7,4.7,9.3
DJ Harvey,72089,CB,USC,8,93,0,326,1,14.0,66.7,100.0,5.3,3.6,0,1,11.1,38.2,0,75,33.3,2,1,149.3,6,34,36.6,34,0,3,9,2,162,60,5.1,27.0,0,1,6.0,33.3,100.0,24.5,8.2,0,1,16.7,69.0,0,20,0.0,0,1,44.4,2,52,55.9,52,1,2,6,0,21,9,0.4,10.5
Solomone Langi,72318,DI,S JOSE ST,11,1,0,285,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,1.9,,,0,0,,60.7,0,,0.0,0,0,0.0,0,1,100.0,52,1,1,0,0,0,0,0.0,
Raider Damuni,72338,S,BYU,12,230,0,128,1,15.5,33.3,100.0,38.0,12.7,0,0,0.0,74.0,0,33,0.0,0,0,54.2,2,81,35.2,81,1,1,6,0,35,40,0.5,17.5,0,2,8.9,70.0,94.0,15.4,10.8,0,0,0.0,60.2,1,20,0.0,0,0,52.1,7,109,47.4,116,3,8,10,0,75,29,0.7,10.7
Justin Flowe,72388,LB,UNLV,8,45,0,325,0,,,68.2,,,0,0,,62.8,0,,,0,0,0.0,0,15,33.3,22,0,0,0,0,0,0,0.0,,0,1,2.3,66.7,86.2,12.0,8.0,0,1,33.3,77.4,0,5,20.0,1,1,70.1,2,25,55.6,29,2,3,3,0,8,8,0.3,4.0
Ian Shewell,72474,DI,ARIZONA ST,3,1,0,110,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,10,0,1,0,0,0,0,0.0,
Jadon Pearson,72538,LB,FRESNO ST,13,358,0,169,3,-0.1,71.4,69.5,21.2,15.1,0,0,0.0,78.0,0,41,7.7,1,0,97.3,5,114,31.8,164,4,9,7,0,60,58,0.6,12.0,0,2,1.8,88.0,95.8,9.7,8.5,0,1,4.0,55.5,0,24,4.3,1,1,99.2,22,226,63.1,236,10,20,25,0,195,149,0.9,8.9
Marco Notarainni,73389,LB,BOISE ST,14,285,0,120,1,2.2,66.7,64.2,13.0,8.7,0,2,16.7,65.3,0,36,11.1,1,1,88.9,8,115,40.4,179,5,7,12,0,90,71,0.9,11.3,0,2,4.1,63.6,69.8,18.7,11.9,0,1,9.1,71.4,0,32,30.8,4,0,87.3,7,134,47.0,192,6,7,11,0,85,51,0.6,12.1
Trent Whalen,73609,LB,ARKANSAS,6,19,0,111,0,2.0,100.0,100.0,6.0,6.0,0,0,0.0,51.9,0,18,,0,0,118.8,1,7,36.8,7,0,0,1,0,18,16,3.0,18.0,0,0,4.5,100.0,90.9,2.5,2.5,0,0,0.0,59.0,0,20,0.0,0,0,116.7,4,10,52.6,11,2,5,4,0,48,30,4.8,12.0
Gio De Leon,73658,LB,BUFFALO,4,8,0,126,0,,,66.7,,,0,0,,60.4,0,,,0,0,0.0,0,2,25.0,3,0,0,0,0,0,0,0.0,,0,0,,,71.4,,,0,0,,63.5,0,,0.0,0,0,0.0,0,5,62.5,7,1,1,0,0,0,0,0.0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,80,0,340,0,2.5,50.0,78.7,43.0,21.5,0,0,0.0,71.6,0,3,0.0,0,0,56.3,1,48,60.0,61,1,2,2,0,3,3,0.1,3.0,0,0,5.0,60.0,90.6,9.3,5.6,0,0,0.0,61.1,0,25,0.0,0,0,82.9,3,29,36.3,32,2,1,5,0,37,11,1.3,12.3
Ryan Quintanar,74152,LB,USC,2,4,0,326,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,60.0,,,0,0,,49.6,0,,,0,0,0.0,0,3,75.0,5,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,8,69,0,180,0,11.0,50.0,100.0,17.0,8.5,0,0,0.0,59.5,0,7,0.0,0,0,58.3,1,18,26.1,18,0,1,2,0,7,1,0.4,7.0,0,1,13.6,60.0,100.0,11.3,6.8,0,0,0.0,45.2,0,13,20.0,1,0,80.4,3,38,55.1,38,0,3,5,0,34,7,1.0,11.3
Zion Branch,74395,S,GEORGIA,8,140,0,173,0,6.0,100.0,100.0,36.0,36.0,0,0,0.0,52.4,0,6,0.0,0,0,91.7,1,42,30.0,42,0,2,1,0,6,0,0.2,6.0,0,0,5.0,100.0,98.9,13.8,13.8,0,1,16.7,68.9,0,20,15.4,2,1,105.6,6,88,62.9,89,5,11,6,0,56,26,0.7,9.3
Jaymar Mundy,75041,CB,OHIO,5,34,0,259,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,3,8.8,3,0,0,0,0,0,0,0.0,,0,0,18.8,60.0,100.0,8.7,5.2,0,0,0.0,48.4,0,42,0.0,0,0,143.8,3,27,79.4,27,0,2,5,1,63,9,2.4,21.0
Silas Walters,75263,S,MIAMI OH,12,415,0,221,1,14.9,46.2,97.1,10.1,4.7,0,3,11.5,61.6,0,23,9.1,1,2,98.4,12,135,32.5,139,1,9,26,3,121,21,1.0,10.1,0,4,7.6,64.7,95.2,10.5,6.8,1,2,5.9,68.5,2,19,14.8,4,2,66.2,22,237,57.1,249,6,19,34,1,203,86,0.9,9.2
Moroni Anae,81437,LB,UTAH,4,22,0,328,1,-3.0,100.0,68.4,12.0,12.0,0,0,0.0,64.0,0,20,33.3,1,0,118.8,1,13,59.1,19,0,1,1,0,20,23,1.7,20.0,0,0,14.0,100.0,80.0,8.0,8.0,0,0,0.0,56.8,0,13,33.3,1,0,118.8,1,8,36.4,10,1,2,1,0,13,-1,1.6,13.0
Brendon Harris,83446,S,MIDDLE TN,12,201,0,224,1,-0.3,50.0,93.8,28.5,14.3,0,0,0.0,63.6,0,8,20.0,1,0,56.3,2,61,30.3,65,2,3,4,0,7,14,0.1,3.5,0,1,11.3,75.0,96.1,19.8,14.9,0,0,0.0,60.0,0,56,16.7,1,0,156.3,6,123,61.2,128,2,4,8,1,126,67,1.1,21.0
Jayden Dunlap,85725,CB,BYU,10,83,0,128,1,9.0,33.3,100.0,26.0,8.7,0,0,0.0,56.3,0,10,50.0,1,0,43.8,1,27,32.5,27,0,0,3,0,10,12,0.4,10.0,0,0,21.4,80.0,97.5,9.5,7.6,0,0,0.0,60.1,0,35,0.0,0,0,158.3,4,39,47.0,40,2,3,5,1,83,3,2.2,20.8
Gracen Halton,85774,DI,OKLAHOMA,13,3,0,261,0,,,1.6,,,0,0,,60.5,0,,100.0,1,0,0.0,0,1,33.3,63,0,0,0,0,0,0,0.0,,0,0,,,1.3,,,0,0,,58.7,0,,,0,0,0.0,0,2,66.7,157,3,0,0,0,0,0,0.0,
Kalib Perry,86267,LB,LOUISVILLE,13,184,0,210,0,18.0,0.0,61.5,,22.0,0,0,0.0,60.9,0,,0.0,0,0,39.6,0,24,13.0,39,1,1,1,0,0,0,0.0,,0,2,7.7,87.0,83.2,6.4,5.6,0,1,4.3,42.0,0,33,11.8,2,1,131.2,20,134,72.8,161,5,13,23,1,276,114,2.2,13.8
Blake Ruffin,86298,S,LOUISVILLE,5,39,0,210,1,,,100.0,,,0,0,,77.4,0,,0.0,0,0,0.0,0,8,20.5,8,0,0,0,0,0,0,0.0,,0,0,2.0,0.0,93.5,,14.5,0,0,0.0,66.4,0,,20.0,1,0,39.6,0,29,74.4,31,1,4,2,0,0,0,0.0,
Jalil Tucker,86578,CB,OREGON ST,11,270,0,265,1,15.3,62.5,100.0,8.2,5.1,0,3,18.8,52.8,1,61,33.3,3,1,109.4,10,90,33.3,90,2,5,16,2,160,64,2.0,16.0,0,1,18.0,60.7,100.0,8.6,5.2,0,2,7.1,56.5,0,38,20.0,2,0,121.7,17,151,55.9,151,2,7,28,2,304,87,2.1,17.9
Jackson Schulz,86773,S,KENTUCKY,4,11,0,202,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,1,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,8,72.7,8,0,0,0,0,0,0,0.0,
Ceyair Wright,86877,CB,NEBRASKA,13,324,0,238,1,14.6,42.9,98.5,13.7,5.9,0,3,14.3,55.3,0,29,20.0,1,2,64.0,9,131,40.4,133,0,3,21,0,132,82,1.1,14.7,0,3,4.7,70.0,97.1,11.6,8.2,0,3,15.0,68.3,0,45,29.4,5,1,105.4,14,170,52.5,175,3,9,20,1,136,125,0.8,9.7
David Reese,90079,ED,SYRACUSE,12,48,0,304,0,2.0,50.0,9.6,9.0,4.5,0,0,0.0,56.6,0,21,50.0,1,0,87.5,1,10,20.8,104,0,1,2,0,21,25,2.3,21.0,0,1,8.3,75.0,22.0,12.0,9.0,0,0,0.0,55.7,0,24,16.7,1,0,109.4,3,37,77.1,168,4,4,4,0,43,23,1.2,14.3
Chance Tucker,90524,CB,NOTRE DAME,4,14,0,258,0,12.0,50.0,100.0,4.5,2.3,0,0,0.0,36.0,0,6,,0,0,56.3,2,9,64.3,9,0,0,4,0,9,0,1.0,4.5,0,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,5,35.7,5,0,0,0,0,0,0,0.0,
Ose Egbase,90529,ED,UNLV,14,3,0,325,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,68,1,0,0,0,0,0,,,0,1,,,2.7,,,0,0,,67.8,0,,0.0,0,0,0.0,0,3,100.0,112,1,1,0,0,0,0,0.0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,16,0,265,0,14.0,100.0,66.7,2.0,2.0,0,0,0.0,44.7,0,19,,0,0,158.3,1,2,12.5,3,0,0,1,1,19,5,9.5,19.0,0,1,2.5,100.0,100.0,6.0,6.0,0,0,0.0,67.6,0,7,0.0,0,0,89.6,2,12,75.0,12,0,1,2,0,11,6,0.9,5.5
Solomon Brown,97386,S,BUFFALO,12,335,0,126,1,7.1,46.2,98.8,12.7,5.8,1,3,23.1,72.4,1,13,11.1,1,3,66.0,6,83,24.8,84,3,7,13,2,56,27,0.7,9.3,0,2,12.2,80.0,98.5,23.8,19.0,0,1,10.0,64.7,0,43,6.7,1,0,108.3,8,195,58.2,198,4,12,10,0,100,32,0.5,12.5
Marvae Myers,97517,CB,MARSHALL,10,297,0,214,0,12.2,44.4,98.2,12.8,5.7,0,2,11.1,52.3,0,69,28.6,2,0,115.3,8,109,36.7,111,1,5,18,3,158,102,1.5,19.8,0,1,17.9,57.1,100.0,16.3,9.3,2,2,14.3,75.4,1,52,0.0,0,2,95.8,8,138,46.5,138,1,9,14,1,187,51,1.4,23.4
Jett Elad,97543,S,RUTGERS,12,341,0,278,4,7.0,87.5,86.4,18.6,16.3,0,0,0.0,68.3,1,24,16.7,3,0,107.8,7,140,41.1,162,1,11,8,1,79,38,0.6,11.3,0,0,13.8,83.3,100.0,30.2,25.2,0,1,16.7,68.5,1,62,28.6,4,1,79.2,5,157,46.0,157,0,10,6,0,105,47,0.7,21.0
Mohamed Toure,97751,LB,MIAMI FL,16,342,0,220,0,6.6,20.0,60.5,47.0,9.4,0,1,20.0,65.7,0,8,25.0,1,1,39.6,1,49,14.3,81,0,3,5,0,8,6,0.2,8.0,0,4,5.7,78.7,89.1,6.1,4.8,0,3,6.4,34.3,0,36,22.6,7,3,116.5,37,229,67.0,257,9,20,47,2,402,231,1.8,10.9
Zaylin Wood,97761,DI,VANDERBILT,13,6,0,333,0,,,6.4,,,0,0,,61.3,1,,0.0,0,0,0.0,0,5,83.3,78,0,1,0,0,0,0,0.0,,0,0,,,0.6,,,0,0,,57.2,0,,50.0,1,0,0.0,0,1,16.7,173,6,1,0,0,0,0,0.0,
Mark Davis,97886,CB,VANDERBILT,12,173,0,333,0,14.0,66.7,100.0,7.2,4.8,0,1,11.1,65.0,0,32,28.6,2,0,95.1,6,46,26.6,46,1,5,9,0,81,16,1.9,13.5,0,1,7.0,54.5,99.1,17.8,9.7,0,4,36.4,83.9,0,13,7.7,1,4,60.0,6,108,62.4,109,5,11,11,0,31,4,0.3,5.2
Shammond Cooper,97918,LB,AKRON,11,238,0,102,0,3.0,50.0,78.7,34.0,17.0,0,0,0.0,54.4,0,4,0.0,0,0,95.8,1,37,15.5,47,1,1,2,1,4,5,0.1,4.0,0,0,2.9,76.0,91.0,8.7,6.6,0,0,0.0,53.3,0,38,16.7,2,0,102.3,19,172,72.3,189,6,10,25,0,221,169,1.3,11.6
Richie Hagarty,98121,ED,NWESTERN,8,9,0,256,0,,,15.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,33.3,20,0,0,0,0,0,0,0.0,,0,0,9.0,100.0,8.6,6.0,6.0,0,0,0.0,51.7,0,10,0.0,0,0,108.3,1,6,66.7,70,0,2,1,0,10,1,1.7,10.0
Myles Farmer,98122,S,APP STATE,3,5,0,108,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,13.0,100.0,100.0,3.0,3.0,0,0,0.0,51.1,0,22,,0,0,118.8,1,4,80.0,4,0,0,1,0,22,9,7.3,22.0
Quindarius Dunnigan,98193,ED,MICH STATE,12,3,0,223,0,,,2.9,,,0,0,,60.5,0,,0.0,0,0,0.0,0,1,33.3,35,0,1,0,0,0,0,0.0,,0,2,5.0,100.0,1.9,2.0,2.0,0,0,0.0,65.2,0,6,33.3,1,0,91.7,1,2,66.7,107,2,0,1,0,6,1,3.0,6.0
Jalen Catalon,98867,S,MISSOURI,13,205,0,229,1,6.0,50.0,100.0,45.0,22.5,0,0,0.0,59.9,0,2,25.0,2,0,56.3,1,50,24.4,50,1,5,2,0,2,5,0.0,2.0,0,4,5.2,75.0,95.3,14.8,11.1,0,0,0.0,75.8,0,25,11.8,2,0,91.3,9,142,69.3,149,6,11,12,0,77,44,0.6,8.6
Isaiah Gibson Sr.,98952,DI,SO MISS,13,2,0,296,0,,,0.0,,,0,0,,59.7,0,,50.0,1,0,0.0,0,0,0.0,59,1,1,0,0,0,0,,,0,0,,,1.2,,,0,0,,57.8,0,,,0,0,0.0,0,2,100.0,166,0,0,0,0,0,0,0.0,
Brandon Mack II,99105,ED,HOUSTON,13,61,0,182,1,,,1.5,,,0,0,,61.2,0,,0.0,0,0,0.0,0,1,1.6,67,0,0,0,0,0,0,0.0,,0,0,4.3,81.8,31.8,6.3,5.2,0,0,0.0,66.4,0,22,50.0,3,0,91.7,9,57,93.4,179,5,3,11,0,66,30,1.2,7.3
Will Jones II,99276,S,N TEXAS,14,383,0,251,0,9.6,35.7,97.7,23.8,8.5,1,1,7.1,78.1,0,10,0.0,0,1,44.3,5,126,32.9,129,4,9,14,0,29,24,0.2,5.8,0,2,10.1,78.6,93.8,17.2,13.5,0,0,0.0,69.2,2,42,9.1,2,0,75.6,11,197,51.4,210,6,18,14,0,163,55,0.9,14.8
Logan Wilson,99280,CB,CINCINNATI,11,301,0,138,0,19.1,60.0,100.0,8.0,4.8,0,2,20.0,52.4,0,69,0.0,0,1,137.5,6,50,16.6,50,0,2,10,1,174,46,3.6,29.0,0,3,7.1,54.5,100.0,16.1,8.8,1,3,13.6,75.3,0,25,20.0,4,3,71.0,12,203,67.4,203,4,13,22,0,124,36,0.6,10.3
Isheem Young,99281,S,MEMPHIS,6,59,0,218,0,4.0,0.0,100.0,,16.0,0,0,0.0,55.0,0,,,0,0,39.6,0,19,32.2,19,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,96.9,30.0,30.0,0,0,0.0,62.7,0,15,50.0,1,0,118.8,1,31,52.5,32,0,1,1,0,15,10,0.5,15.0
Virdel Edwards II,99286,CB,HAWAII,12,306,0,180,0,15.0,71.4,100.0,13.2,9.4,1,1,14.3,71.3,0,19,0.0,0,1,85.4,5,69,22.5,69,1,6,7,0,40,9,0.6,8.0,0,1,15.9,85.7,100.0,14.6,12.5,1,1,7.1,66.1,0,52,8.3,1,1,118.8,12,189,61.8,189,4,10,14,0,216,62,1.2,18.0
Deshawn McCuin,99502,CB,S DIEGO ST,10,125,0,284,0,9.2,66.7,97.1,7.8,5.2,0,1,16.7,62.7,0,14,33.3,1,0,77.8,4,33,26.4,34,1,2,6,0,29,15,0.9,7.3,0,1,13.3,69.2,100.0,8.8,6.1,0,2,15.4,75.4,1,32,22.2,2,2,57.9,9,82,65.6,82,3,6,13,0,94,34,1.2,10.4
Nate Temple,99726,ED,PITTSBURGH,10,2,0,268,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,2.7,,,0,0,,53.6,0,,0.0,0,0,0.0,0,2,100.0,73,0,1,0,0,0,0,0.0,
Cecil Powell,99735,S,SM HOUSTON,11,273,0,281,0,8.1,36.4,89.2,21.5,7.8,0,2,18.2,81.9,0,11,10.0,1,1,44.9,4,91,33.3,102,2,9,11,0,20,27,0.2,5.0,0,2,3.0,77.8,86.4,8.1,6.3,1,2,11.1,68.9,0,30,5.9,1,1,113.4,14,121,44.3,140,6,14,18,1,122,101,1.1,8.7
Jordan Huff,99745,S,GA STATE,12,222,0,175,1,5.5,50.0,94.1,60.0,30.0,0,1,50.0,48.5,0,27,33.3,1,1,95.8,1,64,28.8,68,0,1,2,0,27,20,0.5,27.0,0,3,7.2,70.0,100.0,16.6,11.6,0,1,10.0,78.9,1,18,7.7,1,1,46.2,7,123,55.4,123,3,9,10,0,61,19,0.5,8.7
Antonio Clary,99757,S,VIRGINIA,11,137,0,335,1,10.0,75.0,100.0,14.0,10.5,0,0,0.0,67.2,2,18,0.0,0,0,52.1,3,42,30.7,42,0,1,4,0,26,12,0.6,8.7,0,3,5.6,80.0,98.6,16.3,13.0,0,1,20.0,67.9,0,19,0.0,0,1,105.8,4,68,49.6,69,0,4,5,0,47,24,0.7,11.8
Kenan Johnson,99761,CB,VIRGINIA,1,2,0,335,0,,,100.0,,,0,0,,61.9,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Rico Watson III,99809,ED,USF,13,151,0,327,0,,,17.0,,,0,0,,63.4,0,,,0,0,0.0,0,9,6.0,53,0,0,0,0,0,0,0.0,,0,1,4.1,82.4,55.9,8.7,7.2,0,0,0.0,43.0,1,24,31.3,5,0,73.0,14,128,84.8,229,5,10,17,0,126,83,1.0,9.0
Ben Smiley,99845,ED,UCONN,10,12,0,146,0,-2.0,100.0,26.1,12.0,12.0,0,0,0.0,56.6,0,5,100.0,1,0,127.1,1,12,100.0,46,0,0,1,1,5,7,0.4,5.0,0,1,,,0.0,,,0,0,,61.1,0,,60.0,3,0,0.0,0,0,0.0,87,1,1,0,0,0,0,,
Blaine Spires,100324,ED,PITTSBURGH,9,5,0,268,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,7,0,0,0,0,0,0,0.0,,0,0,,,1.7,,,0,0,,61.1,0,,0.0,0,0,0.0,0,2,40.0,121,3,1,0,0,0,0,0.0,
Stephon Wright,100437,DI,UCONN,12,9,0,146,0,12.0,100.0,17.9,7.0,7.0,0,0,0.0,55.0,0,19,,0,0,158.3,1,7,77.8,39,0,0,1,1,19,7,2.7,19.0,0,0,,,1.2,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,11.1,85,1,0,0,0,0,0,0.0,
De'Jon Benton,100445,DI,HAWAII,12,2,0,180,1,,,3.2,,,0,0,,58.9,0,,50.0,2,0,0.0,0,2,100.0,62,1,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,207,6,2,0,0,0,0,,
Levani Damuni,100457,LB,UTAH,13,109,0,328,1,-4.0,75.0,73.5,23.0,17.3,0,0,0.0,68.5,0,20,20.0,1,0,103.1,3,72,66.1,98,3,3,4,0,37,47,0.5,12.3,0,0,8.3,50.0,55.6,15.0,7.5,0,0,0.0,51.9,0,11,0.0,0,0,61.5,2,30,27.5,54,0,2,4,0,17,13,0.6,8.5
Naki Fahina,101179,DI,UTAH ST,5,1,0,329,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,44,0,1,0,0,0,0,,
Javin Wright,101373,LB,NEBRASKA,12,247,0,238,0,3.4,50.0,75.2,19.8,9.9,0,0,0.0,69.4,0,9,14.3,1,0,95.8,4,85,34.4,113,5,6,8,1,18,20,0.2,4.5,0,3,4.3,57.1,96.6,11.3,6.5,0,1,4.8,66.9,1,20,10.0,2,1,50.1,12,140,56.7,145,6,15,21,0,102,59,0.8,8.5
Derik LeCaptain,101506,LB,MINNESOTA,2,3,0,225,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,75.0,,,0,0,,63.2,0,,0.0,0,0,0.0,0,3,100.0,4,1,1,0,0,0,0,0.0,
Tate Hallock,101668,S,W MICHIGAN,14,407,0,347,1,18.4,14.3,93.3,86.0,12.3,0,1,14.3,75.8,1,2,0.0,0,1,0.0,1,97,23.8,104,3,5,7,0,2,5,0.0,2.0,0,2,9.6,72.0,91.6,11.9,8.6,0,1,4.0,71.1,2,82,25.0,5,1,80.1,18,230,56.5,251,5,13,25,1,228,105,1.1,12.7
Marlon Jones,101808,CB,VANDERBILT,7,87,0,333,0,7.8,60.0,100.0,8.0,4.8,0,0,0.0,55.3,0,11,0.0,0,0,115.8,3,26,29.9,26,0,1,5,1,29,10,1.2,9.7,0,1,4.7,100.0,97.8,7.2,7.2,0,0,0.0,62.5,0,15,0.0,0,0,98.6,6,45,51.7,46,0,6,6,0,46,18,1.1,7.7
Brendan Harrington,102848,LB,GA SOUTHRN,13,372,0,174,2,-0.3,100.0,71.6,17.3,17.3,0,0,0.0,54.4,0,10,25.0,2,0,86.5,4,78,21.0,109,3,4,4,0,19,20,0.3,4.8,0,4,3.3,83.3,93.3,11.2,9.3,0,1,4.2,77.4,1,26,4.0,1,1,71.5,20,237,63.7,254,8,20,24,0,128,86,0.6,6.4
Logan Lutui,103655,ED,BYU,14,60,0,128,0,,,10.2,,,0,0,,62.6,0,,100.0,1,0,0.0,0,9,15.0,88,0,0,0,0,0,0,0.0,,0,2,10.7,40.0,34.7,10.8,4.3,1,2,20.0,67.4,1,18,16.7,1,2,8.3,4,43,71.7,124,3,3,10,0,30,13,0.7,7.5
