player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Chance Graves,142349,CB,E CAROLINA,12,0,0,33.3,0,0,156,0,0,75.4,72.5,80.0,60.8,55.0,59.1,0,0,0,0,19,16.7,2,3,1,63.2,6,1,0,15,155,100,173,1,0,0,1,0,0,172,7,66,2,2,10,0,18,1,1,64,14,10.7
James Jennette,142415,ED,VA TECH,4,2,1,,0,0,337,0,0,63.0,79.7,82.0,90.7,68.4,67.0,0,2,0,0,,10.0,1,0,0,0.0,0,1,0,3,0,6,61,50,0,0,50,0,0,11,14,41,8,4,7,0,0,3,0,0,0,
KC Eziomume,142746,CB,TULANE,4,0,0,40.0,0,0,319,0,0,65.1,65.5,75.2,60.0,61.9,74.2,0,0,0,0,33,0.0,0,1,0,127.1,2,0,0,1,33,20,35,1,0,0,1,0,0,34,1,14,0,0,1,0,5,0,1,66,10,33.0
Elijah Harper,142861,ED,KENNESAW,1,0,0,,0,0,200,0,0,60.0,61.0,68.1,,60.1,24.9,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Semaj Cross,143096,LB,KENT STATE,8,2,0,75.0,0,0,201,0,0,52.5,56.4,81.8,67.4,59.3,54.2,0,0,0,0,51,20.0,3,0,0,105.2,6,0,0,35,0,44,130,17,0,0,17,0,0,113,5,81,78,5,10,0,8,0,0,78,48,13.0
Chase Alexander,143336,S,JVILLE ST,5,0,0,70.0,0,1,196,1,0,64.9,67.2,81.9,69.0,65.3,55.0,0,0,0,0,64,20.0,2,0,0,112.5,7,1,0,16,1,42,104,12,0,0,12,0,6,92,8,54,69,4,8,0,10,1,0,162,85,23.1
Mike Nwokocha,143510,DI,TEXAS ST,11,2,0,,0,0,314,0,0,,61.8,31.3,59.2,65.3,57.3,0,1,0,0,,14.3,1,0,1,0.0,0,0,0,0,0,0,150,150,29,111,0,10,0,0,81,69,0,1,4,0,0,1,0,0,0,
Parker McKenna,143761,LB,WASH STATE,12,23,0,70.5,0,0,341,1,0,50.9,57.3,81.4,65.8,59.1,52.5,1,5,0,1,31,16.8,17,1,0,79.8,31,4,0,518,6,279,652,43,0,0,43,0,4,609,51,322,81,32,61,2,44,10,0,301,194,9.7
Jalen Cheek,143820,S,UAB,9,5,0,100.0,0,0,321,0,0,71.7,68.9,80.8,56.5,64.1,90.5,0,0,0,0,10,0.0,0,0,0,108.3,1,0,0,90,0,74,196,8,0,0,8,0,81,188,5,117,17,3,17,1,1,0,0,10,3,10.0
Ty Clemons,143821,DI,BOSTON COL,6,1,0,,0,0,121,0,0,60.0,57.9,79.1,68.3,48.2,27.2,1,4,0,0,,40.0,4,0,0,0.0,0,1,0,2,0,1,116,114,6,71,7,30,0,2,63,52,0,5,5,0,0,6,0,0,0,
Quintayvious Hutchins,143827,ED,BOSTON COL,10,12,0,75.0,0,0,121,0,0,73.6,68.7,0.0,69.6,71.5,76.6,7,16,0,0,19,7.7,3,0,8,91.7,3,2,0,20,0,31,418,395,0,1,393,1,0,23,194,193,2,17,24,2,4,25,0,26,21,8.7
Owen McGowan,143832,LB,BOSTON COL,11,15,0,80.0,0,0,121,0,0,58.7,53.2,84.9,47.6,52.4,64.9,0,1,0,0,71,14.9,10,2,0,149.2,24,1,0,573,0,292,659,40,0,0,40,0,1,619,67,300,44,29,42,4,30,2,3,354,259,14.8
Bryce Steele,143838,LB,BOSTON COL,9,4,0,66.7,0,0,121,1,0,41.6,47.1,79.9,60.2,53.6,48.5,0,0,0,0,14,25.0,5,1,0,84.0,4,0,0,168,0,54,177,4,0,0,4,0,0,173,7,116,5,8,11,0,6,0,0,38,39,9.5
Owen Stoudmire,143839,DI,BOSTON COL,3,2,0,,0,0,121,0,0,,69.7,78.3,56.7,74.0,77.0,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,80,80,4,46,2,28,0,0,36,44,0,2,4,0,0,2,0,0,0,
