player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jalen Marshall,157155,DI,MISSOURI,13,1,0,229,60.8,1,0,90,100.0,1.1,1,0,2.8,2,93,93,3,1,63.6,0,0,24,100.0,0.0,0,8.3,2,25,25,2
Ja'Marion Wayne,157164,CB,COAST CAR,12,0,1,141,64.7,0,1,2,0.7,0.0,0,1,25.0,0,283,2,1,0,63.8,0,1,0,0.0,,0,,0,42,0,1
Carmycah Glass,157169,LB,HOUSTON,13,0,0,182,56.1,4,1,51,27.6,0.0,0,0,6.9,1,192,53,6,0,52.1,1,1,21,35.9,0.0,0,4.8,0,64,23,2
Robby Harrison,157195,DI,W KENTUCKY,12,0,0,346,62.5,2,3,96,100.0,5.2,5,1,3.6,1,102,102,6,0,68.9,2,2,27,100.0,11.1,3,11.1,1,29,29,5
Braxton Fely,157202,DI,BOISE ST,14,0,0,120,75.3,4,23,299,97.6,9.7,29,3,6.5,6,328,320,33,0,71.6,2,11,101,99.1,11.9,12,10.4,4,110,109,17
Jaseim Mitchell,157214,LB,COLO STATE,6,0,0,144,64.6,1,3,29,37.8,10.3,3,0,10.3,1,82,31,5,0,59.2,0,2,6,38.9,16.7,1,16.7,0,18,7,2
Nuer Gatkuoth,157215,ED,WAKE,12,0,1,339,75.4,6,21,197,83.4,12.7,25,1,9.9,6,247,206,33,0,75.1,2,13,82,87.9,14.6,12,14.0,4,99,87,19
Christian Ellis,157236,S,VA TECH,4,0,0,337,59.6,0,0,1,2.3,0.0,0,0,0.0,0,43,1,0,0,59.6,0,0,1,4.8,0.0,0,0.0,0,21,1,0
Devon Jackson,157253,LB,OREGON,13,0,0,264,65.7,2,4,34,18.7,11.8,4,1,8.8,0,198,37,6,0,67.3,1,2,15,18.1,13.3,2,10.0,0,94,17,3
Harrison Taggart,157254,LB,CAL,11,0,0,130,52.2,1,1,21,17.7,9.5,2,0,4.8,0,124,22,2,0,50.6,1,0,10,22.4,0.0,0,5.0,0,49,11,1
Anthony Jones,157255,ED,UCLA,11,0,0,324,55.9,4,10,228,93.5,5.3,12,1,4.4,3,261,244,17,0,55.4,3,3,67,91.7,7.5,5,6.0,1,84,77,7
David Bailey,157272,ED,TEXAS TECH,14,2,0,315,93.8,23,43,361,95.5,21.6,78,7,13.3,15,398,380,81,0,94.4,10,24,114,99.2,38.6,44,24.6,11,129,128,45
Matt Rose,157275,LB,STANFORD,12,2,0,300,65.0,1,8,73,19.7,8.2,6,3,11.6,4,386,76,13,1,56.2,0,7,40,29.9,7.5,3,13.8,2,144,43,9
Collin Wright,157276,CB,STANFORD,9,0,0,300,57.8,0,1,2,0.7,50.0,1,2,25.0,0,293,2,1,0,,0,0,0,0.0,,0,,0,101,0,0
Scotty Edwards,157277,S,STANFORD,11,0,0,300,59.9,0,2,23,8.6,0.0,0,0,13.0,2,278,24,4,0,66.7,0,0,10,9.0,0.0,0,20.0,2,111,10,2
Ernest Cooper,157278,ED,STANFORD,12,0,0,300,50.7,3,10,242,88.7,2.5,6,1,3.9,3,282,250,16,0,54.1,2,5,90,83.6,3.3,3,6.1,2,116,97,9
Jaxson Moi,157280,DI,TENNESSEE,9,0,0,307,55.3,0,3,122,100.0,3.3,4,2,2.9,2,128,128,5,0,56.4,0,2,40,100.0,2.5,1,5.0,1,42,42,3
Tevarua Tafiti,157281,ED,STANFORD,11,1,0,300,61.0,9,26,277,78.2,8.7,24,1,7.0,2,367,287,37,0,68.8,5,9,103,86.0,15.5,16,7.8,1,129,111,15
Zach Rowell,157284,DI,STANFORD,12,0,0,300,56.5,0,7,154,100.0,3.2,5,1,2.3,0,161,161,7,0,55.7,0,3,42,100.0,7.1,3,3.6,0,46,46,3
Namdi Obiazor,157288,LB,TCU,13,1,0,305,77.8,0,7,50,13.1,20.0,10,1,11.0,2,411,54,9,0,83.5,0,6,21,14.5,38.1,8,19.0,1,172,25,7
Damonic Williams,157291,DI,OKLAHOMA,12,0,0,261,58.0,1,10,199,99.5,5.0,10,1,3.8,2,210,209,13,0,55.2,0,3,63,100.0,7.9,5,2.4,0,68,68,3
Connor Lingren,157293,DI,TCU,13,0,0,305,51.7,0,1,102,100.0,0.0,0,0,0.5,0,115,115,1,0,53.1,0,0,30,100.0,0.0,0,0.0,0,32,32,0
Paul Oyewale,157294,ED,TCU,13,0,1,305,64.1,3,24,275,96.5,10.9,30,1,5.6,2,310,299,29,0,68.9,2,15,111,92.7,16.2,18,8.6,1,124,115,18
Champ Lewis,157299,CB,TULSA,11,0,0,320,60.0,0,0,1,0.7,0.0,0,1,0.0,0,144,1,0,0,,0,0,0,0.0,,0,,0,60,0,0
Kyron Chambers,157300,CB,SMU,10,0,0,287,63.3,1,0,6,2.7,16.7,1,4,8.3,0,262,7,1,0,,0,0,0,0.0,,0,,0,102,0,0
Justice Finkley,157306,ED,KANSAS,12,0,1,198,70.7,5,10,197,92.7,8.6,17,2,4.8,2,219,203,17,0,77.4,4,6,61,93.9,13.1,8,11.5,2,66,62,12
Larry Turner-Gooden,157308,S,S JOSE ST,9,0,2,285,65.8,1,0,3,1.7,0.0,0,2,16.7,0,229,4,1,0,59.2,0,0,1,1.1,0.0,0,0.0,0,87,1,0
Aaron Bryant,157310,DI,VANDERBILT,11,0,0,333,61.5,0,2,56,98.3,3.6,2,0,1.8,0,59,58,2,0,58.3,0,2,18,94.7,0.0,0,5.6,0,19,18,2
BJ Allen Jr.,157311,CB,N TEXAS,12,0,1,251,61.6,0,1,6,5.9,16.7,1,2,8.3,0,119,7,1,0,60.0,0,0,0,3.8,,0,,0,26,1,0
Jaray Bledsoe,157313,DI,MISS STATE,13,0,0,227,64.1,3,12,208,100.0,8.2,17,1,4.6,2,218,218,17,0,69.2,2,8,69,100.0,14.5,10,8.7,1,72,72,11
Joseph Adedire,157323,ED,NC STATE,8,0,0,248,70.3,0,2,35,94.9,20.0,7,0,5.7,1,39,37,3,0,62.0,0,1,14,100.0,14.3,2,3.6,0,15,15,1
Tre'Von McAlpine,157324,DI,TULANE,14,0,0,319,58.2,2,5,209,100.0,1.4,3,1,2.2,1,230,230,8,0,58.1,1,1,73,100.0,0.0,0,1.4,0,83,83,2
Harvey Dyson,157327,ED,TULANE,14,0,2,319,90.4,1,14,181,75.8,17.1,31,2,9.1,9,265,201,24,0,88.9,0,8,66,83.3,28.8,19,15.2,6,90,75,14
Wesley Smith,157329,LB,TEXAS TECH,3,0,0,315,56.5,0,0,3,23.1,0.0,0,0,0.0,0,13,3,0,0,57.7,0,0,2,66.7,0.0,0,0.0,0,3,2,0
Ben Roberts,157332,LB,TEXAS TECH,14,1,0,315,53.2,1,6,46,9.8,4.3,2,0,7.6,0,499,49,7,0,53.7,1,3,13,10.3,0.0,0,15.4,0,156,16,4
Tanner Allen,157340,DI,TEXAS TECH,2,0,0,315,64.5,0,1,9,100.0,11.1,1,0,5.6,0,9,9,1,0,58.1,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Asani Redwood,157354,DI,W VIRGINIA,12,0,0,343,60.9,2,13,210,97.8,6.7,14,0,3.6,0,228,223,15,0,56.6,1,6,67,97.3,4.5,3,5.2,0,75,73,7
Hershey McLaurin,157356,S,PURDUE,5,0,0,273,70.7,0,0,2,2.1,50.0,1,1,50.0,1,97,2,1,0,72.7,0,0,1,2.3,100.0,1,100.0,1,44,1,1
Trey Lathan,157359,LB,KANSAS,12,0,0,198,70.1,6,10,56,15.7,12.5,7,0,17.9,2,375,59,18,0,81.4,1,6,24,22.0,29.2,7,18.8,1,118,26,8
Mumu Bin-Wahad,157368,CB,UNLV,12,0,0,325,72.8,5,5,17,9.4,23.5,4,3,29.4,0,191,18,10,0,75.9,1,3,6,13.7,33.3,2,33.3,0,51,7,4
Brylan Green,157386,S,LIBERTY,10,0,0,206,54.6,0,0,4,1.6,0.0,0,0,0.0,0,248,4,0,0,57.6,0,0,2,2.7,0.0,0,0.0,0,75,2,0
Dexter Ricks Jr.,157387,CB,LIBERTY,10,0,0,206,60.0,0,0,1,0.5,0.0,0,1,0.0,0,203,1,0,0,,0,0,0,0.0,,0,,0,64,0,0
Jayden Sweeney,157389,S,FAU,11,1,0,165,74.4,2,3,9,3.2,11.1,1,0,27.8,0,281,9,5,0,54.4,0,1,3,2.9,0.0,0,16.7,0,103,3,1
A'Khori Jones,157391,S,LIBERTY,12,0,0,206,62.4,1,3,10,4.6,20.0,2,0,30.0,1,239,11,5,0,63.5,0,1,3,4.3,0.0,0,50.0,1,69,3,2
Elijah Auguste,157393,S,LIBERTY,12,0,0,206,53.3,0,1,8,3.9,0.0,0,1,6.3,0,204,8,1,0,55.1,0,0,4,6.9,0.0,0,0.0,0,58,4,0
Bryce Dixon,157403,DI,LIBERTY,11,1,0,206,59.6,4,9,190,98.5,6.3,12,0,4.5,2,201,198,15,0,57.9,4,4,58,100.0,10.3,6,6.9,0,61,61,8
Jackson Vick,157406,CB,NC STATE,10,0,0,248,52.5,0,2,11,3.4,0.0,0,5,9.1,0,407,14,2,0,55.1,0,1,3,2.2,0.0,0,16.7,0,180,4,1
Brandon Cleveland,157411,DI,NC STATE,13,0,0,248,62.0,2,9,253,100.0,6.7,17,0,3.0,2,273,273,13,0,65.4,1,4,85,100.0,10.6,9,4.1,1,93,93,6
Nick Campbell,157412,DI,APP STATE,11,0,1,108,66.6,0,1,70,100.0,5.7,4,1,0.7,0,76,76,1,0,69.9,0,0,15,100.0,6.7,1,0.0,0,19,19,0
DJ Jackson,157413,DI,LIBERTY,7,0,0,206,63.6,0,2,45,100.0,13.3,6,0,2.2,0,46,46,2,0,63.9,0,2,16,100.0,25.0,4,6.3,0,17,17,2
Aisea Moa,157430,LB,MICH STATE,11,1,0,223,80.5,1,10,43,44.3,14.0,6,0,12.8,0,97,43,11,1,88.7,0,5,22,61.1,18.2,4,11.4,0,36,22,5
Logan Fano,157432,ED,UTAH,11,2,0,328,74.8,8,21,244,93.8,15.6,38,0,8.0,5,273,256,34,0,76.9,4,14,95,96.1,25.3,24,12.6,3,102,98,21
Michael Daley,157435,ED,RICE,4,2,0,275,71.1,2,6,66,90.0,21.2,14,1,10.6,3,80,72,11,0,64.9,1,1,23,96.2,26.1,6,4.3,0,26,25,2
Isaiah Glasker,157436,LB,BYU,14,1,0,128,75.8,3,14,132,27.8,8.3,11,2,8.7,3,485,135,20,0,63.0,2,9,47,32.0,10.6,5,13.8,1,150,48,12
J.D. Lampley,157442,DI,E CAROLINA,13,2,1,156,55.4,6,13,294,95.7,5.4,16,1,3.6,1,324,310,20,1,61.8,2,6,64,94.7,12.5,8,7.8,1,75,71,9
Samuel Dankah,157444,LB,E CAROLINA,13,0,0,156,65.2,3,8,66,21.9,12.1,8,0,9.8,1,320,70,12,0,67.1,1,3,24,32.5,20.8,5,8.3,0,77,25,4
Isaiah Brown-Murray,157447,CB,VA TECH,12,0,0,337,56.5,0,0,2,0.8,0.0,0,1,0.0,0,364,3,0,0,,0,0,0,0.0,,0,,0,121,0,0
Zakye Barker,157449,LB,SMU,11,0,0,287,56.6,0,1,14,10.7,0.0,0,0,3.6,0,131,14,1,0,62.3,0,1,6,14.0,0.0,0,8.3,0,43,6,1
Joey Zelinsky,157453,ED,PITTSBURGH,12,0,0,268,66.5,2,12,147,96.8,11.6,17,1,6.8,3,156,151,17,0,68.8,0,6,51,96.4,19.6,10,9.8,2,55,53,8
Joshua Scott,157470,CB,E MICHIGAN,12,0,0,160,53.9,0,0,3,1.2,0.0,0,5,0.0,0,244,3,0,0,59.3,0,0,1,1.3,0.0,0,0.0,0,77,1,0
Barry Manning,157476,LB,E MICHIGAN,12,0,0,160,55.4,0,4,26,9.4,7.7,2,0,11.5,1,287,27,5,0,50.0,0,2,13,12.6,7.7,1,7.7,0,111,14,2
Maverick Baranowski,157484,LB,MINNESOTA,13,0,0,225,60.9,1,5,48,14.3,4.2,2,0,12.5,3,370,53,9,0,60.2,0,0,16,15.8,12.5,2,6.3,1,101,16,1
Anthony Smith,157485,ED,MINNESOTA,13,3,0,225,71.9,7,23,376,98.3,10.6,40,1,7.7,14,403,396,44,0,74.5,4,9,112,97.5,16.1,18,11.2,6,119,116,19
Tyler Stolsky,157505,LB,FAU,12,1,0,165,61.3,1,3,32,15.0,9.4,3,1,9.4,1,253,38,5,1,64.4,1,2,13,25.0,15.4,2,19.2,1,72,18,4
Joey Gerlach,157506,LB,MINNESOTA,9,0,0,225,67.6,0,2,13,34.1,15.4,2,0,7.7,0,41,14,2,0,61.7,0,1,5,35.7,20.0,1,10.0,0,14,5,1
Aidan Gousby,157507,S,MINNESOTA,11,0,0,225,65.6,0,1,3,1.1,33.3,1,0,16.7,0,263,3,1,0,,0,0,0,0.0,,0,,0,77,0,0
Coleman Bryson,157509,S,N CAROLINA,12,0,0,245,56.5,0,0,6,6.8,0.0,0,0,0.0,0,103,7,0,0,59.7,0,0,1,2.9,0.0,0,0.0,0,35,1,0
Rayyan Buell,157513,DI,MEMPHIS,12,0,0,218,64.4,1,6,100,99.1,11.0,11,0,3.5,0,107,106,7,0,73.6,0,2,21,100.0,28.6,6,4.8,0,21,21,2
Jamare Glasker,157528,CB,MARYLAND,10,0,0,215,75.0,0,0,1,0.3,0.0,0,2,100.0,1,323,1,1,0,,0,0,0,0.0,,0,,0,120,0,0
Zamari Stevenson,157530,CB,WAKE,11,0,0,339,69.1,2,0,2,2.5,0.0,0,0,50.0,0,81,2,2,0,,0,0,0,0.0,,0,,0,21,0,0
Eli Hall,157533,ED,LIBERTY,11,2,1,206,69.6,1,4,119,93.4,7.6,9,2,5.5,4,136,127,9,1,72.1,0,1,36,90.9,8.3,3,12.5,4,44,40,5
Kevin Abrams-Verwayne,157542,ED,APP STATE,13,1,0,108,79.3,6,17,266,89.1,14.7,39,2,6.2,5,313,279,28,1,81.2,4,10,102,95.6,20.6,21,8.8,2,113,108,16
Ethan Johnson,157549,CB,APP STATE,13,0,0,108,48.8,0,0,9,1.8,0.0,0,1,0.0,0,498,9,0,0,50.7,0,0,6,3.7,0.0,0,0.0,0,162,6,0
DJ Burks,157550,S,APP STATE,13,0,0,108,52.4,0,0,8,2.3,0.0,0,1,0.0,0,344,8,0,0,52.7,0,0,3,2.9,0.0,0,0.0,0,103,3,0
Santana Hopper,157551,DI,TULANE,14,0,0,319,81.4,12,23,356,99.7,15.2,54,2,6.0,4,391,390,39,0,88.8,7,14,127,99.3,27.6,35,11.4,4,146,145,25
Derrell Farrar,157552,LB,LIBERTY,11,0,0,206,57.5,5,6,65,22.8,9.2,6,2,10.0,1,303,69,12,0,59.1,2,2,18,22.8,11.1,2,11.1,0,92,21,4
Markus Clark,157556,DI,LIBERTY,9,0,0,206,57.9,0,4,79,100.0,5.1,4,0,2.5,0,82,82,4,0,59.6,0,3,27,100.0,7.4,2,5.6,0,28,28,3
Donovan Spellman,157558,ED,UNLV,14,1,0,325,51.9,3,5,120,93.3,2.5,3,0,3.3,0,134,125,8,0,53.5,1,2,40,97.8,5.0,2,3.8,0,45,44,3
Caleb Bacon,157561,LB,IOWA STATE,12,0,0,193,71.4,7,6,107,29.6,10.3,11,2,8.9,3,372,110,16,0,68.3,1,5,31,61.5,22.6,7,12.9,1,52,32,7
Will McLaughlin,157562,LB,IOWA STATE,7,1,0,193,73.7,0,1,19,31.7,5.3,1,0,13.2,2,60,19,3,0,64.6,0,1,5,41.7,20.0,1,10.0,0,12,5,1
Jontez Williams,157583,CB,IOWA STATE,5,0,0,193,58.2,0,0,1,0.9,0.0,0,0,0.0,0,117,1,0,0,58.2,0,0,1,4.5,0.0,0,0.0,0,22,1,0
Jacob Ellis,157590,LB,COLO STATE,10,0,0,144,48.8,1,8,50,33.8,6.0,3,0,9.0,0,154,52,9,0,58.9,0,2,15,38.5,13.3,2,6.7,0,39,15,2
Ikenna Ezeogu,157591,ED,IOWA STATE,12,2,0,193,53.7,2,12,297,99.0,4.4,13,0,2.4,0,309,306,14,0,52.5,0,3,35,100.0,5.7,2,4.3,0,37,37,3
Carson Willich,157592,LB,IOWA STATE,6,0,0,193,60.0,0,4,19,17.1,10.5,2,0,10.5,0,111,19,4,0,63.4,0,2,5,38.5,20.0,1,20.0,0,13,5,2
Blake Thompson,157593,S,HOUSTON,12,0,0,182,58.9,0,0,2,1.6,0.0,0,0,0.0,0,122,2,0,0,,0,0,0,0.0,,0,,0,40,0,0
Treyveon McGee,157596,S,CHARLOTTE,10,0,0,136,61.9,1,2,14,6.4,7.1,1,0,10.7,0,219,14,3,0,62.2,0,1,4,7.0,25.0,1,12.5,0,57,4,1
John Klosterman,157597,LB,IOWA STATE,6,0,0,193,58.7,0,1,9,19.6,0.0,0,0,5.6,0,51,10,1,0,65.4,0,0,2,75.0,0.0,0,0.0,0,4,3,0
Domonique Orange,157602,DI,IOWA STATE,12,0,0,193,62.8,3,10,306,98.1,6.9,21,0,2.1,0,323,317,13,0,66.6,1,3,40,100.0,17.5,7,5.0,0,43,43,4
Myles Norwood,157603,CB,S CAROLINA,8,0,0,289,59.5,0,0,1,0.9,0.0,0,0,0.0,0,113,1,0,0,59.5,0,0,1,2.5,0.0,0,0.0,0,40,1,0
Trent Jones II,157604,DI,UCONN,8,0,1,146,56.8,1,9,146,97.4,5.5,8,1,4.8,2,153,149,12,0,57.7,1,4,74,96.2,5.4,4,4.7,1,79,76,6
Jeremiah Cooper,157608,CB,IOWA STATE,4,0,0,193,60.0,0,1,1,1.0,0.0,0,1,50.0,0,103,1,1,0,60.0,0,1,1,5.6,0.0,0,50.0,0,18,1,1
Tyre West,157613,ED,TENNESSEE,12,1,1,307,72.1,4,9,133,99.3,12.0,16,3,7.9,4,146,145,17,0,69.3,2,5,37,100.0,21.6,8,12.2,1,42,42,8
Elijah Herring,157614,LB,FLORIDA ST,12,0,0,167,62.1,0,4,33,17.8,9.1,3,0,12.1,2,208,37,6,0,66.9,0,3,15,21.2,13.3,2,23.3,2,85,18,5
Max Alford,157627,LB,BYU,9,0,0,128,70.7,2,5,21,28.0,14.3,3,0,26.2,2,75,21,9,0,69.1,1,2,12,54.5,16.7,2,20.8,1,22,12,4
Bronson Olevao Jr.,157632,LB,UTAH ST,13,1,0,329,60.4,6,14,150,32.1,7.3,11,1,9.3,4,495,159,24,1,69.1,2,9,48,44.7,12.5,6,17.7,3,114,51,14
Paul Fitzgerald,157633,ED,UTAH,4,0,0,328,69.5,0,2,33,92.7,15.2,5,0,6.1,1,41,38,3,0,77.8,0,2,17,95.7,29.4,5,11.8,1,23,22,3
Enoka Migao,157635,ED,UTAH ST,5,0,0,329,61.6,2,5,82,100.0,9.8,8,1,4.3,0,85,85,7,0,65.2,0,3,19,100.0,21.1,4,7.9,0,20,20,3
Tavian Coleman,157637,DI,COLORADO,5,0,0,143,58.3,0,1,63,100.0,4.8,3,0,0.8,0,71,71,1,0,58.6,0,0,24,100.0,8.3,2,0.0,0,30,30,0
Malachi Madison,157649,DI,UMASS,8,0,1,216,59.3,0,3,90,98.9,3.3,3,2,2.8,1,95,94,4,0,64.8,0,3,15,100.0,6.7,1,16.7,1,15,15,4
Mansoor Delane,157650,CB,LSU,11,1,0,211,66.4,1,2,6,1.7,0.0,0,0,25.0,0,363,6,3,0,60.0,1,0,1,0.7,0.0,0,50.0,0,143,1,1
Keyshawn Burgos,157654,ED,VA TECH,4,0,0,337,71.3,0,3,17,78.3,29.4,5,2,8.8,0,23,18,3,0,70.2,0,1,6,100.0,33.3,2,8.3,0,6,6,1
Kevin Sjogren,157669,ED,WYOMING,7,0,0,351,59.9,1,1,23,64.9,8.7,2,0,4.3,0,37,24,2,0,60.4,0,1,7,70.0,14.3,1,7.1,0,10,7,1
Jaden Williams,157679,DI,KENTUCKY,8,0,0,202,61.4,0,4,60,100.0,6.7,4,0,3.3,0,61,61,4,0,64.6,0,3,20,100.0,10.0,2,7.5,0,20,20,3
Brady Kopetz,157702,TE,COLORADO,1,0,0,143,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Simeon Harris,157706,CB,FRESNO ST,13,0,0,169,61.6,0,1,16,4.5,6.3,1,0,9.4,1,353,16,2,0,56.1,0,0,2,1.5,0.0,0,0.0,0,135,2,0
Xavier Smith,157707,S,UTEP,10,0,0,330,64.9,0,1,3,1.3,33.3,1,3,16.7,0,319,4,1,0,64.5,0,1,1,1.2,100.0,1,50.0,0,84,1,1
Jeremy Mack Jr.,157712,S,DOMINION,13,0,0,263,68.2,2,14,100,26.2,7.0,7,2,14.0,6,413,108,22,0,68.3,0,6,30,31.0,13.3,4,10.0,0,100,31,6
Shakaun Bowser,157715,ED,UTEP,12,0,0,330,59.7,1,10,153,97.1,8.5,13,0,4.9,2,172,167,13,0,57.1,0,3,42,95.7,11.9,5,6.0,1,47,45,4
Mason Maddox,157721,DI,KENT STATE,12,0,0,201,64.1,4,4,194,99.5,7.2,14,3,2.6,1,203,202,9,0,63.1,2,3,70,100.0,8.6,6,5.0,1,75,75,6
Dylan Dixson,157722,CB,MO STATE,13,0,0,230,67.2,0,2,11,3.2,9.1,1,4,18.2,1,345,11,3,0,68.2,0,1,3,2.8,0.0,0,50.0,1,109,3,2
Jamari Lyons,157729,DI,FLORIDA,12,0,0,163,53.9,0,3,99,99.1,1.0,1,0,1.5,0,106,105,3,0,57.4,0,1,29,100.0,3.4,1,1.7,0,34,34,1
Kamari Wilson,157735,S,MEMPHIS,13,0,0,218,56.6,1,3,32,8.5,3.1,1,1,6.3,0,423,36,4,0,57.5,0,0,7,8.9,0.0,0,0.0,0,101,9,0
Miguel Mitchell,157742,S,ARKANSAS,12,0,0,111,62.7,0,0,6,2.3,16.7,1,0,16.7,1,262,6,1,0,68.4,0,0,3,3.5,33.3,1,33.3,1,86,3,1
Chris McClellan,157743,DI,MISSOURI,13,2,0,229,73.2,5,11,291,100.0,9.6,28,1,4.5,5,312,312,21,2,67.8,1,7,107,100.0,10.3,11,5.6,2,120,120,10
Jack Pyburn,157747,ED,LSU,12,0,0,211,62.9,2,29,287,91.0,11.1,32,1,6.4,3,332,302,34,0,62.9,2,13,113,92.4,17.7,20,7.5,1,131,121,16
Devin Moore,157751,CB,FLORIDA,11,0,0,163,71.6,0,0,7,2.5,0.0,0,0,14.3,1,275,7,1,0,,0,0,0,0.0,,0,,0,100,0,0
Tyreak Sapp,157752,ED,FLORIDA,12,0,0,163,59.3,2,14,180,91.8,8.3,15,2,5.6,2,207,190,18,0,58.6,1,7,77,93.2,11.7,9,6.5,1,88,82,9
Uso Seumalo,157775,DI,KANSAS ST,12,2,0,199,55.3,0,4,161,100.0,2.5,4,0,1.9,1,168,168,5,0,56.2,0,4,57,100.0,7.0,4,5.3,1,61,61,5
VJ Payne,157780,S,KANSAS ST,12,0,0,199,51.3,2,1,8,2.3,0.0,0,2,18.8,0,383,9,3,0,53.2,1,0,3,2.4,0.0,0,16.7,0,167,4,1
Jordan Perry,157785,S,TROY,7,0,0,318,71.5,0,0,1,5.6,0.0,0,0,100.0,1,18,1,1,0,,0,0,0,0.0,,0,,0,5,0,0
Tobi Osunsanmi,157786,ED,KANSAS ST,6,0,0,199,70.6,2,8,119,89.4,10.1,12,0,7.6,4,141,126,14,0,69.3,0,5,62,88.0,14.5,9,8.9,3,75,66,8
DeSean Brown,157821,ED,OKLA STATE,7,0,0,262,55.4,0,2,59,100.0,3.4,2,0,3.4,1,63,63,3,0,53.1,0,2,11,100.0,0.0,0,9.1,0,13,13,2
Landon Dean,157822,ED,OKLA STATE,11,0,0,262,49.1,0,1,81,100.0,1.2,1,1,0.6,0,86,86,1,0,47.7,0,1,14,100.0,0.0,0,3.6,0,16,16,1
Jaleel Johnson,157823,ED,OKLA STATE,4,0,0,262,86.8,4,8,63,95.7,27.0,17,1,9.5,0,70,67,12,0,82.2,0,6,25,96.3,40.0,10,12.0,0,27,26,6
Ethan Powell,157838,LB,S JOSE ST,12,0,0,285,52.9,1,3,42,22.7,4.8,2,3,4.8,0,198,45,4,0,58.2,1,2,17,50.0,5.9,1,8.8,0,36,18,3
Jordan Pollard,157845,LB,S JOSE ST,12,1,1,285,65.4,4,4,51,14.3,3.9,2,4,13.7,3,400,57,11,1,62.9,3,3,30,28.8,6.7,2,13.3,1,118,34,7
Justin Stearns,157846,ED,S JOSE ST,12,0,0,285,56.2,0,4,87,98.9,5.7,5,1,5.7,3,91,90,7,0,51.5,0,2,17,100.0,5.9,1,5.9,0,19,19,2
Justin Eklund,157848,LB,BOWL GREEN,4,0,0,122,58.7,0,0,2,13.6,0.0,0,0,0.0,0,22,3,0,0,,0,0,0,0.0,,0,,0,7,0,0
Michael Dansby,157849,CB,ARIZONA,12,0,1,109,64.8,0,0,4,1.5,25.0,1,5,0.0,0,265,4,0,0,59.1,0,0,1,1.2,0.0,0,0.0,0,83,1,0
Dejon Roney,157853,ED,S JOSE ST,4,0,0,285,51.9,0,0,22,100.0,0.0,0,0,0.0,0,24,24,0,0,54.2,0,0,7,100.0,0.0,0,0.0,0,8,8,0
Khalil Jacobs,157870,LB,MISSOURI,13,1,0,229,75.3,1,6,38,17.7,13.2,5,0,17.1,3,231,41,10,0,74.2,1,4,21,23.1,19.0,4,26.2,3,104,24,8
Blayne Myrick,157874,LB,S ALABAMA,11,0,0,288,54.1,1,8,44,15.1,6.8,3,2,10.2,0,318,48,9,0,50.8,0,1,8,8.9,0.0,0,6.3,0,112,10,1
Mo Westmoreland,157883,ED,TULANE,12,0,0,319,82.5,3,10,116,73.9,25.0,29,1,9.1,4,165,122,17,0,83.2,2,5,50,82.8,34.0,17,11.0,2,64,53,9
Payton Zdroik,157898,DI,AIR FORCE,12,1,1,101,92.2,8,29,268,99.6,19.0,51,4,7.3,1,285,284,38,0,93.0,4,21,101,100.0,31.7,32,13.4,1,107,107,26
Jonathan Capo,157937,S,BUFFALO,3,0,0,126,60.0,0,0,0,7.1,,0,0,,0,14,1,0,0,,0,0,0,0.0,,0,,0,6,0,0
Devin Grant,157942,S,SYRACUSE,10,0,0,304,55.7,2,5,34,17.8,8.8,3,0,13.2,1,197,35,8,0,56.8,1,2,15,21.7,6.7,1,16.7,1,69,15,4
Red Murdock,157948,LB,BUFFALO,12,0,1,126,72.3,2,12,46,11.0,19.6,9,1,28.3,6,427,47,20,0,67.3,0,4,19,11.4,21.1,4,26.3,3,175,20,7
Kam Olds,157953,ED,KENTUCKY,11,0,0,202,82.1,1,22,103,74.8,20.4,21,0,12.1,1,143,107,24,0,74.9,1,13,55,83.8,21.8,12,14.5,1,68,57,15
Devin Morgan,157955,DI,BUFFALO,12,0,0,126,67.3,4,5,183,97.0,7.1,13,0,5.2,5,200,194,14,0,64.6,4,3,85,100.0,8.2,7,8.8,4,92,92,11
Cornell Evans,157956,DI,BUFFALO,12,1,0,126,61.2,1,8,174,98.4,5.2,9,0,3.2,1,185,182,10,1,55.3,0,4,68,100.0,4.4,3,2.9,0,72,72,4
Maguire Neal,157963,S,MO STATE,13,0,1,230,46.8,0,1,4,1.2,0.0,0,2,12.5,0,427,5,1,0,45.9,0,1,1,1.5,0.0,0,50.0,0,130,2,1
