player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Teivis Tuioti,128247,DI,S DIEGO ST,9,0,0,284,63.2,0,1,31,100.0,9.7,3,0,1.6,0,32,32,1,0,63.1,0,1,14,100.0,14.3,2,3.6,0,15,15,1
Thomas Witte,128249,DI,NEVADA,12,0,0,239,56.8,2,16,329,100.0,4.6,15,2,3.0,1,350,350,19,0,58.5,1,9,105,100.0,6.7,7,5.7,1,116,116,11
Tavian Combs,128258,S,NEW MEXICO,13,0,0,241,60.6,0,2,16,4.3,6.3,1,1,12.5,1,421,18,3,0,61.5,0,0,3,3.6,33.3,1,0.0,0,139,5,0
Waisale Muavesi,128364,DI,UNLV,14,0,0,325,61.3,0,2,96,100.0,6.3,6,0,2.1,1,104,104,3,0,58.7,0,0,34,100.0,5.9,2,2.9,1,37,37,1
Mata Hola,128383,ED,S JOSE ST,11,0,0,285,55.7,0,3,71,100.0,5.6,4,0,2.1,0,75,75,3,0,55.1,0,2,20,100.0,5.0,1,5.0,0,21,21,2
Sabastian Harsh,128416,ED,NC STATE,13,2,0,248,82.5,7,38,365,94.9,16.4,60,2,7.3,4,413,392,49,0,69.9,3,24,152,96.0,16.4,25,9.5,1,174,167,28
Oluwaseyi Omotosho,128425,ED,W VIRGINIA,3,0,0,343,66.4,0,0,6,85.7,16.7,1,0,0.0,0,7,6,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Braden Siders,128432,ED,W VIRGINIA,12,0,0,343,66.1,4,12,212,85.0,6.1,13,1,4.7,2,260,221,18,0,57.4,1,3,57,72.3,7.0,4,5.3,1,83,60,5
Mana Taimani,128436,DI,COLORADO,2,0,0,143,60.8,0,0,10,100.0,10.0,1,0,0.0,0,10,10,0,0,64.3,0,0,5,100.0,20.0,1,0.0,0,5,5,0
Michael Boudoin III,128789,LB,TEXAS ST,10,0,0,314,75.4,3,4,23,21.1,8.7,2,0,19.6,1,123,26,8,0,75.5,1,1,6,29.2,16.7,1,16.7,0,24,7,2
Mason Green,128892,ED,NWESTERN,2,0,0,256,70.9,0,1,10,100.0,20.0,2,0,15.0,1,10,10,2,0,70.3,0,1,5,100.0,40.0,2,10.0,0,5,5,1
