player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brendon Lewis,131687,QB,MEMPHIS,13,82.3,327,367,9.0,3.1,7,16,4.1,68.4,251,0,157,6.7,447,18,142,218,56.1,87.2,75.4,85.9,6,7,474,1,19.1,95.9,6.7,30,49,0,27,16,14,3.0,2666,7.3
Ben Finley,122864,QB,AKRON,11,62.7,346,366,11.4,2.8,3,15,3.9,51.1,187,0,133,13.8,416,30,129,102,45.8,70.0,68.6,59.1,3,9,439,2,22.6,79.9,7.2,30,20,2,12,19,22,5.0,2474,6.8
Luke Altmyer,146802,QB,ILLINOIS,13,75.1,338,365,9.3,2.8,6,12,3.1,66.8,244,0,144,3.9,421,10,155,187,44.5,77.7,74.2,71.0,4,5,449,2,21.5,106.4,7.4,31,24,0,17,22,14,3.1,2994,8.2
Haynes King,124329,QB,GA TECH,12,79.0,338,365,7.5,2.65,5,15,4.0,69.0,252,1,124,5.6,393,15,138,176,68.0,85.9,80.9,75.0,3,6,408,1,8.1,99.1,2.5,10,18,3,16,14,4,1.0,2936,8.0
Logan Fife,128176,QB,NEW MEX ST,10,66.7,336,364,9.2,2.52,13,15,3.9,56.3,205,0,125,8.5,419,19,113,242,29.5,59.1,60.4,51.4,2,12,447,1,23.2,71.0,6.9,29,25,0,13,11,20,4.5,2240,6.2
Ta'Quan Roberson,101625,QB,BUFFALO,11,67.8,326,362,11.3,2.62,7,27,7.1,56.9,206,0,124,6.8,410,15,125,126,30.3,59.3,58.5,60.4,8,12,429,6,19.4,80.2,5.9,24,23,2,19,17,24,5.6,2511,6.9
Nicholas Vattiato,145302,QB,MIDDLE TN,9,71.4,332,360,7.4,2.52,8,9,2.4,60.6,218,0,98,8.0,410,19,112,224,52.6,64.0,66.7,46.9,0,7,433,0,20.4,84.2,4.9,20,30,4,16,16,9,2.1,2155,6.0
Brad Jackson,184354,QB,TEXAS ST,13,79.5,332,357,8.8,2.62,8,22,5.9,70.6,252,0,113,4.5,446,12,152,314,52.6,79.2,73.1,73.8,1,7,470,0,23.9,109.8,6.1,27,58,3,13,21,10,2.1,3208,9.0
Conner Weigman,158683,QB,HOUSTON,13,72.2,334,356,8.9,2.68,4,18,4.6,65.2,232,1,135,3.7,401,9,144,182,39.2,74.4,63.5,80.3,5,9,437,2,14.1,100.9,4.7,19,22,0,13,25,17,3.9,2705,7.6
Bryson Barnes,131845,QB,UTAH ST,13,70.0,323,356,11.2,2.98,4,18,4.7,58.7,209,0,192,7.5,445,17,138,329,53.4,76.6,68.5,76.0,8,5,483,2,20.3,94.9,8.8,39,49,0,21,18,13,2.7,2807,7.9
Demond Williams Jr.,183648,QB,WASHINGTON,13,77.4,328,355,9.0,3.21,4,14,3.8,69.3,246,0,184,3.1,449,8,169,340,62.3,79.1,74.7,72.4,5,8,461,3,15.8,109.8,6.5,29,65,0,18,25,10,2.2,3057,8.6
Avery Johnson,173108,QB,KANSAS ST,12,72.2,316,344,9.5,2.76,8,17,4.8,59.3,204,0,105,10.5,379,24,117,199,52.9,74.8,71.6,68.2,3,6,391,3,9.5,90.6,2.6,10,24,1,16,18,18,4.6,2385,6.9
Byrum Brown,156206,QB,USF,12,75.6,328,342,9.7,2.98,5,21,5.7,65.8,225,0,113,9.3,405,23,141,327,57.0,91.5,85.7,86.2,3,7,431,2,13.3,113.8,3.7,15,46,1,5,28,11,2.6,3129,9.1
Ryan Browne,174949,QB,PURDUE,12,71.0,314,341,9.3,3.04,3,11,3.0,58.4,199,0,129,10.8,388,24,124,273,58.8,69.1,66.7,62.2,4,10,418,1,12.4,73.6,4.1,16,31,1,19,9,17,4.1,2153,6.3
Kaden Anderson,127312,QB,WYOMING,12,67.9,308,340,8.4,2.84,9,8,2.2,55.6,189,0,110,9.6,369,20,93,351,57.8,50.5,49.7,57.5,2,10,396,3,14.5,72.0,4.3,16,13,2,19,12,16,4.0,1969,5.8
Rocco Becht,157567,QB,IOWA STATE,12,71.6,317,340,9.7,2.67,7,15,4.2,60.3,205,0,97,9.7,386,22,125,193,57.8,80.0,79.3,64.0,3,9,409,2,22.7,88.7,5.7,22,23,1,12,16,9,2.2,2584,7.6
DJ Lagway,184426,QB,FLORIDA,12,71.8,316,338,8.1,2.71,3,13,3.7,63.0,213,0,115,6.2,382,14,108,163,58.3,66.7,62.6,69.4,5,14,401,0,20.0,81.0,6.0,23,21,2,12,16,18,4.5,2265,6.7
Devon Dampier,171556,QB,UTAH,12,70.0,313,337,10.6,2.87,8,20,5.6,62.6,211,0,94,3.7,369,8,125,328,63.1,83.1,76.7,77.7,2,5,391,4,8.5,102.4,2.2,8,24,1,13,24,11,2.8,2471,7.3
